date,dic
YYYY-MM-DD,mg.L-1
2015-11-02,15.488
2015-11-09,15.609
2015-11-15,15.754199999999999
2015-11-23,15.1976
2015-12-01,16.34
2016-04-08,17.98
2016-04-21,16.24
2016-05-02,17.07
2016-05-20,11.93
2016-05-27,11.57
2016-06-04,8.816
2016-06-11,8.73
2016-06-17,9.209
2016-06-27,8.971
2016-06-29,13.2
2016-07-08,9.768
2016-07-15,10.97
2016-07-22,12.96
2016-08-05,13.84
2016-08-12,15.22
2016-08-19,15.3
2016-08-26,16.02
2016-09-02,14.53
2016-09-09,13.3
2016-09-16,14.0
2016-09-23,13.47
2016-09-30,13.38
2016-10-12,14.71
2016-10-19,14.88
2016-10-27,15.14
2016-11-03,13.74
2016-11-12,16.32
2017-05-14,10.8
2017-05-30,9.067
2017-06-15,9.589
2017-06-30,9.779
2017-07-13,9.742
2017-07-30,10.52
2017-08-25,13.39
2017-09-14,15.11
2017-09-27,15.98
2017-10-14,13.27
2017-10-23,12.66
2017-11-03,14.25
2017-11-16,14.62
2018-03-03,18.91
2018-05-25,8.138
2018-06-08,9.193
2018-06-15,8.5984
2018-06-25,22.14
2018-07-09,10.22
2018-07-15,12.16
2018-08-10,14.47
2018-08-17,11.94
2018-08-24,11.97
2018-08-31,11.64
2018-09-07,11.93
2018-09-14,12.06
2018-09-21,12.24
2018-09-28,12.09
