date,dic
YYYY-MM-DD,mg.L-1
2015-11-15,0.3775
2015-11-23,0.3581
2015-11-24,1.062
2016-05-27,0.3201
2016-06-04,0.3286
2016-06-11,0.2862
2016-06-17,0.3412
2016-06-29,0.4312
2016-07-08,0.2696
2016-07-14,0.5539
2016-07-15,0.2227
2016-07-22,0.3381
2016-08-11,0.7654
2016-08-19,0.7269
2016-08-26,0.9012
2016-09-02,0.7883
2016-09-16,0.5843
2016-10-12,0.4905
2016-10-19,0.6213
2016-10-27,0.5907
2016-11-03,0.4762
2016-11-12,0.5226
2017-03-27,0.4912
2017-06-23,0.801
2017-06-30,0.1999
2017-07-13,0.1513
2017-07-17,0.4857
2017-07-30,0.1586
2017-08-11,0.2551
2017-08-25,0.3045
2017-09-18,0.1649
2017-09-27,0.04786
2017-10-14,0.3875
2017-10-23,0.3211
2017-11-03,0.4869
2017-11-14,0.1678
2017-11-16,0.4054
2018-01-16,0.2877
2018-01-25,0.2958
2018-03-04,0.2516
2018-03-13,0.4449
2018-03-17,0.2274
2018-05-07,0.2019
2018-06-03,0.6028
2018-06-08,0.209
2018-06-15,0.1497
2018-06-25,0.1565
2018-07-11,0.1771
2018-07-12,0.2851
2018-07-19,0.3601
2018-08-31,0.3218
2018-09-01,0.3707
2018-09-07,0.6872
2018-09-14,0.6574
2018-09-21,0.2875
2018-09-26,0.5543
2018-09-28,0.2502
2018-10-05,0.2658
2018-10-11,0.2989
2018-10-12,0.2547
2018-10-18,0.3075
2018-10-21,0.3039
2018-10-25,0.2173
2018-11-02,0.2459
2018-11-10,0.3347
2018-11-16,0.1559
2018-11-17,0.3479
2019-01-23,0.46
2019-07-27,0.711
2019-07-29,0.19599999999999995
2019-08-13,0.855
