date,dic
YYYY-MM-DD,mg.L-1
2020-05-26,3.91
2020-10-09,7.926
2020-10-13,7.513
2020-10-21,7.61
2020-10-28,8.002
2020-11-04,8.058
2020-11-11,7.892
2020-11-17,8.024
2020-11-25,7.923
2020-12-03,8.092
2020-12-09,8.078
2020-12-16,8.158
2020-12-26,8.117
2020-12-31,8.076
2021-01-07,8.072
2021-01-14,8.094
2021-01-21,8.236
2021-01-28,8.167
2021-02-07,8.37
2021-02-11,8.462
2021-02-19,8.291
2021-02-27,8.352
2021-03-05,8.439
2021-03-12,8.389
2021-03-19,8.514
2021-03-26,8.536
2021-04-03,8.202
2021-04-09,7.372
2021-04-16,7.159
2021-04-23,7.512
2021-04-30,5.832
2021-05-19,3.739
2021-05-25,3.183
2021-05-26,2.999
2021-06-02,3.076
2021-06-09,3.977
2021-06-16,4.54
2021-06-23,5.619
2021-06-30,4.747
2021-07-07,5.889
2021-07-14,6.164
2021-07-21,7.022
2021-07-28,7.509
2021-08-04,6.852
2021-08-11,7.497
2021-08-18,7.643
2021-09-01,7.936999999999999
2021-09-08,7.910900000000001
2021-09-15,7.8572999999999995
2021-09-22,8.068000000000001
2021-09-29,7.376000000000001
2021-10-05,8.195
2021-10-06,7.819
2021-10-13,7.085
2021-10-20,7.290000000000001
2021-10-27,6.906000000000001
2021-11-03,7.138000000000001
2021-11-10,7.218
2021-11-17,7.284
2021-11-24,7.757000000000001
2021-12-08,7.931700000000001
2021-12-16,7.042000000000001
2021-12-23,7.186000000000001
