date,dic
YYYY-MM-DD,mg.L-1
2020-05-21,6.393
2020-05-27,7.038
2020-06-03,7.18
2020-06-09,8.14
2020-06-17,10.18
2020-06-25,11.66
2020-06-30,12.14
2020-07-07,12.17
2020-07-14,12.68
2020-07-22,12.59
2020-07-27,12.5
2020-08-02,13.15
2020-08-10,12.77
2020-08-18,13.68
2020-08-24,13.61
2020-08-31,13.31
2020-09-15,13.12
2020-09-22,13.63
2020-09-28,13.78
2020-10-08,13.68
2020-10-14,13.52
2020-10-22,13.51
2020-11-11,12.72
2020-12-08,10.72
2020-12-29,10.52
2021-01-29,11.92
2021-02-09,10.96
2021-03-10,10.77
2021-04-16,7.582
2021-04-29,7.093
2021-05-12,5.216
2021-05-20,5.819
2021-05-26,6.052
2021-06-01,6.811
2021-06-08,9.972
2021-06-14,10.32
2021-06-21,12.52
2021-06-29,12.9
2021-07-08,14.13
2021-07-21,14.67
2021-07-27,14.3
2021-08-05,13.83
2021-08-11,13.94
2021-08-18,14.19
2021-08-26,14.0
2021-08-30,13.96
2021-09-12,14.32
2021-10-06,14.26
2021-10-13,13.7
2021-11-05,12.75
2021-11-12,12.66
2021-12-16,62.38999999999999
