date,dic
YYYY-MM-DD,mg.L-1
2015-11-02,13.6246
2015-11-09,13.5399
2015-11-15,13.915
2016-05-12,12.12
2016-05-20,9.8
2016-05-27,8.419
2016-06-04,5.853
2016-06-11,5.1
2016-06-17,5.817
2016-06-27,7.19
2016-06-29,13.0
2016-07-08,8.73
2016-07-15,10.29
2016-07-22,11.22
2016-08-05,10.17
2016-08-12,12.74
2016-08-19,15.73
2016-08-26,13.32
2016-09-02,12.67
2016-09-09,14.93
2016-09-16,14.21
2016-09-23,13.94
2016-09-30,14.49
2016-10-12,11.05
2016-10-19,29.32
2016-10-27,28.69
2016-11-03,29.13
2016-11-12,28.97
2017-05-30,7.413
2017-06-15,6.124
2017-06-30,0.3062
2017-07-13,7.296
2017-07-30,8.535
2017-08-25,14.3
2017-09-14,20.66
2017-09-27,18.66
2017-10-14,11.95
2017-10-23,12.53
2017-11-03,14.25
2018-05-25,5.324
2018-06-08,6.077
2018-06-15,7.001
2018-06-25,8.451
2018-07-09,11.45
2018-07-15,12.36
2018-08-10,-0.03781
2018-08-17,0.04334
2018-08-24,-0.09313
