date,dic
YYYY-MM-DD,mg.L-1
2015-10-21,66.48
2015-11-01,20.21
2015-11-17,27.25
2015-11-23,67.12
2015-12-03,57.75
2015-12-14,67.06
2015-12-22,68.65
2015-12-28,69.55
2016-01-04,72.45
2016-01-12,72.83
2016-02-02,63.86
2016-02-15,68.42
2016-02-23,72.42
2016-02-29,68.11
2016-03-08,63.07
2016-03-15,68.38
2016-03-21,60.07
2016-03-29,46.45
2016-04-05,43.57
2016-04-12,44.68
2016-04-19,61.72
2016-04-25,56.01
2016-05-03,55.36
2016-05-11,52.25
2016-05-17,53.4
2016-05-27,39.66
2016-06-01,64.75
2016-06-09,56.61
2016-06-16,56.62
2016-06-22,54.73
2016-06-29,65.14
2016-07-08,50.98
2016-07-15,55.31
2016-07-22,53.72
2016-07-29,58.13
2016-08-05,56.25
2016-08-12,60.56
2016-08-19,67.14
2016-08-26,64.39
2016-09-02,69.14
2016-09-09,62.45
2016-09-16,60.71
2016-09-23,61.83
2016-10-01,62.0
2016-10-12,60.14
2016-10-19,97.9
2016-10-21,70.93
2016-10-27,96.25
2016-11-03,96.83
2016-11-12,94.46
2016-11-22,66.47
2016-11-29,36.04
2016-12-06,68.93
2016-12-13,69.74
2016-12-27,71.04
2017-01-03,68.81
2017-01-17,71.27
2017-01-24,73.01
2017-01-31,72.88
2017-02-07,67.49
2017-02-15,67.93
2017-02-21,65.95
2017-02-28,66.03
2017-03-09,65.98
2017-03-14,67.41
2017-03-21,67.34
2017-03-28,66.75
2017-04-04,67.53
2017-04-11,68.1
2017-04-18,62.08
2017-04-25,65.48
2017-05-02,66.57
2017-05-09,65.32
2017-05-16,65.09
2017-05-23,65.69
2017-05-30,65.6
2017-06-01,64.8
2017-06-16,65.12
2017-06-30,62.89
2017-07-30,57.64
2017-08-25,58.97
2017-09-14,58.74
2017-09-27,64.35
2017-10-10,71.17
2017-10-17,63.519999999999996
2017-10-24,58.82
2017-10-31,66.66
2017-11-07,65.07
2017-11-21,68.88
2017-11-24,70.54
2017-11-28,69.82
2017-12-05,70.5
2017-12-12,71.2
2017-12-19,71.35
2017-12-26,71.5
2018-01-02,71.05
2018-01-09,72.94
2018-01-16,73.4
2018-01-23,65.06
2018-01-30,66.23
2018-02-06,65.04
2018-02-13,65.44
2018-02-20,65.84
2018-02-27,65.37
2018-03-06,65.69
2018-03-13,65.17
2018-03-20,66.49
2018-03-27,67.93
2018-04-03,65.88
2018-04-10,65.78
2018-04-17,66.42
2018-04-24,65.16
2018-05-01,66.04
2018-05-25,64.27
2018-06-09,61.26
2018-06-15,62.69
2018-06-25,61.82
2018-07-11,59.73
2018-07-16,59.64
2018-08-10,58.3
2018-08-17,64.09
2018-08-24,66.22
2018-08-31,65.44
2018-09-07,67.8
2018-09-14,68.59
2018-09-21,67.7
2018-09-28,68.81
2018-10-05,69.56
2018-10-12,69.97
2018-10-16,66.01
2018-10-19,69.34
2018-10-25,70.88
2018-10-30,64.42
2018-11-02,70.7
2018-12-04,66.71
2018-12-25,66.81
2019-01-01,67.76
2019-01-15,66.17
2019-02-05,69.39
2019-05-07,62.5
2019-06-23,67.45
2019-06-27,59.18
2019-07-05,57.66
2019-07-14,57.36
2019-07-19,54.77
2019-07-26,54.12
2019-08-02,52.69
2019-08-09,53.36
2019-08-16,60.44
2019-08-23,60.56
2019-08-30,60.29
2019-09-06,59.05
2019-09-13,62.87
2019-09-20,63.43
2019-09-27,63.14
2019-10-04,62.72
2019-10-11,62.47
2019-10-19,62.82
2019-10-25,63.26
2019-11-03,64.48
2019-11-08,63.07
2019-11-15,63.41
2020-05-22,66.83
2020-05-29,67.44
2020-06-05,61.36
2020-06-12,60.88
2020-06-19,62.02
2020-06-26,59.15
2020-07-02,58.17
2020-07-10,59.83
2020-07-17,57.14
2020-07-23,56.5
2020-07-30,55.52
2020-08-07,56.53
2020-08-14,56.47
2020-08-20,51.98
2020-08-27,55.37
2020-09-03,55.75
2020-09-11,54.68
2020-09-18,55.66
2020-09-24,55.56
2020-10-01,53.49
2020-10-08,52.13
2020-10-16,61.58
2020-10-23,62.52
2020-11-06,62.39
2021-05-19,60.24
2021-05-28,63.73
2021-06-04,59.87
2021-07-23,69.42
2021-07-30,75.44
2021-08-06,68.94
2021-08-13,51.74
2021-08-19,60.46
2021-08-27,59.58
2021-09-03,62.44
2021-10-01,61.14
2021-10-07,62.89
2021-10-22,64.05
2022-10-15,63.7
