date,dic
YYYY-MM-DD,mg.L-1
2015-12-31,6.517
2016-01-12,6.518
2016-02-12,6.518
2016-02-18,6.39
2016-02-24,6.436
2016-03-04,6.499
2016-03-11,6.484
2016-03-18,6.349
2016-03-27,6.495
2016-03-28,0.4075
2016-04-03,0.476
2016-04-04,0.5567
2016-04-05,0.8903
2016-04-07,0.4165
2016-04-09,0.4148
2016-04-11,0.474
2016-04-14,4.004
2016-04-16,0.3706
2016-04-18,0.412
2016-04-20,0.3697
2016-04-22,0.3948
2016-04-24,0.5688
2016-04-26,0.6119
2016-04-28,0.644
2016-04-30,0.7253
2016-05-02,0.3896
2016-05-04,0.4039
2016-05-06,3.278
2016-05-08,3.318
2016-05-10,2.619
2016-05-12,3.273
2016-05-14,3.454
2016-05-16,3.269
2016-05-18,3.819
2016-05-20,2.305
2016-05-22,2.974
2016-05-24,3.197
2016-05-26,3.365
2016-05-28,3.526
2016-05-30,3.512
2016-06-01,3.477
2016-06-03,3.389
2016-06-05,2.9909999999999997
2016-06-07,2.593
2016-06-09,2.952
2016-06-11,3.098
2016-06-13,3.148
2016-06-15,3.457
2016-06-17,3.666
2016-06-19,3.937
2016-06-21,3.11
2016-06-23,3.804
2016-06-25,4.447
2016-06-27,4.908
2016-06-29,5.078
2016-07-01,5.067
2016-07-03,4.797
2016-07-05,5.587
2016-07-07,6.007
2016-07-09,0.8525
2016-07-11,5.388
2016-07-13,6.277
2016-07-15,6.619
2016-07-17,6.953
2016-07-19,6.475
2016-07-21,6.593
2016-07-23,6.776
2016-07-25,7.211
2016-07-27,7.98
2016-07-29,8.334
2016-07-31,8.123
2016-08-02,8.146
2016-08-04,7.949
2016-08-06,8.211
2016-08-08,7.13
2016-08-10,7.924
2016-08-12,8.003
2016-08-14,8.185
2016-08-16,8.219
2016-08-18,8.4
2016-08-20,8.629
2016-08-22,8.438
2016-08-24,8.753
2016-08-26,7.857
2016-08-28,8.55
2016-09-02,8.283
2016-09-03,8.368
2016-09-05,8.516
2016-09-07,8.746
2016-09-09,8.993
2016-09-11,8.95
2016-09-13,8.954
2016-09-15,8.862
2016-09-21,7.947
2016-09-21,7.988
2016-09-23,7.606
2016-09-25,7.523
2016-09-27,7.43
2016-09-29,7.605
2016-10-01,7.594
2016-10-03,7.716
2016-10-05,7.611
2016-10-07,7.39
2016-10-09,7.492
2016-10-11,7.113
2016-10-15,7.403
2016-10-17,7.563
2016-10-19,7.628
2016-10-21,7.624
2016-10-23,7.329
2016-10-25,7.346
2016-10-27,7.494
2016-10-29,7.43
2016-11-13,7.392
2017-02-20,7.258
2017-03-10,7.226
2017-03-17,6.566
2017-03-25,5.392
2017-03-28,4.901
2017-03-29,4.686
2017-03-30,4.773
2017-03-31,4.955
2017-04-01,4.982
