date,ammonia
YYYY-MM-DD,ppm
3/30/20,0.0217
4/7/20,0.02205
4/21/20,0.07665
6/16/20,0.00315
6/18/20,0.0065
6/20/20,0
6/22/20,0.00864
6/24/20,0.0053
6/26/20,0
6/28/20,0.0064
6/30/20,0.00341
7/2/20,0.009645
4/29/21,0.05245
5/1/21,0.00949
5/3/21,0.0041
5/5/21,0.004655
5/7/21,0.00421
5/9/21,0.004975
5/11/21,0.00186
5/13/21,0.00495
5/15/21,0.01766
5/17/21,0.00536
5/19/21,0.000991
