date,aluminum
YYYY-MM-DD,ppb
2014-05-02,10.567476
2014-05-04,22.809252
2014-05-07,26.793527
2014-05-10,15.325161
2014-05-13,11.533008
2014-05-16,29.143054
2014-05-19,30.958726
2014-05-22,37.930958
2014-05-25,36.506658
2014-05-28,10.094156
2014-05-31,11.547176
2014-06-03,11.143983
2014-06-06,12.612796
2014-06-09,10.517552
2014-06-12,10.997816
2014-06-15,10.305882
2014-06-18,8.907282
2014-06-21,8.210697
2014-06-24,8.16579
2014-06-27,8.577468
2014-06-30,8.102015
2014-07-03,7.557086
2014-07-06,7.347819
2014-07-09,5.655779
2014-07-12,4.499422
2014-07-15,4.912514
2014-07-18,4.974946
2014-07-21,4.349392
2014-07-24,4.187021
2014-07-27,4.392751
2014-07-30,5.646968
2014-08-02,3.732665
2014-08-05,2.604158
2014-08-08,4.060128
2014-08-11,3.746051
2014-08-14,3.291093
2014-08-17,2.914129
2014-08-20,3.003556
2014-08-23,6.628782
2014-08-26,4.467264740402222
2014-08-29,4.662553095530801
2014-09-01,4.677788399486514
2014-09-04,3.9422390539474086
2014-09-07,3.989347970430685
2014-09-10,11.356488353610127
2014-09-13,7.963401384634243
2014-09-16,3.8813146723129015
2014-09-19,3.6255135188007888
2014-09-22,9.869186805335215
2014-09-25,3.784789858272509
2014-09-28,3.9577519682935445
2014-10-01,5.613129811370073
2014-10-04,4.46239193295821
2014-10-07,3.1304294093608327
2014-10-09,3.242050531467808
2014-10-10,4.4417821237572985
2014-10-13,3.0598862471774773
2014-10-16,2.8873999626410485
2014-10-19,2.780488100431428
2014-10-22,2.311801668520589
2014-10-23,1.904176251472246
2014-10-24,2.052255089620537
2014-10-25,1.8198186108790317
2014-10-26,1.9369276347486988
2014-10-27,2.3882688878815634
2014-10-28,2.7053236632530147
2014-10-29,2.817314933077412
2014-10-30,2.3669370729220165
2014-10-31,2.8508713489854007
2014-11-01,2.9614006298235154
2014-11-02,2.583347564715105
2014-11-03,2.936225302839579
2014-11-04,2.731469402893998
2014-11-05,2.4731817404538603
2014-11-06,2.4016294245947374
2014-11-07,2.955540729205191
2014-11-08,2.8304727517673225
2014-11-09,2.6344061771070306
2014-11-10,2.3814415203441257
2014-11-11,2.5022924822623187
2014-11-12,2.003578159958885
2014-11-13,2.152222977250538
2014-11-14,2.113439034392869
2014-11-15,2.690052904785408
2014-11-16,2.14691199671424
2014-11-17,2.168885001691893
2014-11-18,2.120924128783351
2014-11-19,2.0353723919599327
2014-11-20,4.44893488
2014-11-21,2.1769020078
2014-11-22,2.4771184372
2014-11-23,2.4727743072
2014-11-24,2.799423745
2014-11-25,2.7564931044
2014-11-26,4.7275219233
2014-11-27,3.2250913655
2014-11-28,2.9820370624
2014-11-29,2.77151472
2014-11-30,8.360606269200002
2014-12-01,2.5995337344000005
2014-12-02,3.4910099844000007
2014-12-03,2.5050147641000002
2014-12-04,3.2994167379
2014-12-05,2.7543172558999998
2014-12-06,17.890595755200003
2014-12-07,2.7890852053999997
2014-12-08,4.4715222720000005
2014-12-09,2.519121157
2014-12-10,3.158122518
2014-12-11,2.2575332043000005
2014-12-12,3.5523062592000003
2014-12-13,2.6593731573
2014-12-14,3.7052961435
2014-12-15,3.0888669462
2014-12-16,2.237864496
2014-12-17,6.4005909591000005
2014-12-18,7.306665343599999
2014-12-19,2.2256795422
2014-12-20,3.3746380875999997
2014-12-21,2.6408471188000004
2014-12-22,2.5645229346000002
2014-12-23,2.2366243776
2014-12-24,6.5813049909
2014-12-25,2.0442451408
2014-12-26,2.0888316906
2014-12-27,2.2489571460999995
2014-12-28,3.0683174354
2014-12-29,2.5732809829999996
2014-12-30,5.4625842194
2014-12-31,6.15542851
2015-01-01,3.4900875744
2015-01-02,2.7106767227999997
2015-01-03,2.7521403749999998
2015-01-04,2.759232431
2015-01-06,2.8061157097999994
2015-01-08,3.0490188156
2015-01-10,3.5330094990000003
2015-01-12,3.4021007094
2015-01-14,62.2210659296
2015-01-16,2.9366766564
2015-01-18,4.1313674776000004
2015-01-20,3.179542024
2015-01-22,3.8247247791000003
2015-01-24,2.6361328613999997
2015-01-26,3.1328087553
2015-01-28,3.0707569552
2015-01-30,5.0238833076
2015-02-01,2.2019051519999997
2015-02-03,2.7607037026
2015-02-05,2.7534713952
2015-02-07,3.146034568
2015-02-09,3.3732544608
2015-02-11,4.476809680000001
2015-02-13,3.0954713676000005
2015-02-15,1.8590964729000001
2015-02-16,6.7176655779
2015-02-17,5.7245147274
2015-02-18,3.1784957863
2015-02-19,4.6001784627
2015-02-20,3.3369377868
2015-02-21,3.6006639013
2015-02-22,3.4390951067000004
2015-02-23,3.8698462709999997
2015-02-24,2.7654520592
2015-02-25,3.3467773247999997
2015-02-26,42.1820150388
2015-02-27,2.8904978765
2015-02-28,3.2873941087999996
2015-03-01,2.5346889404
2015-03-02,2.2920978714
2015-03-03,3.7525285
2015-03-04,2.4952120172
2015-03-05,4.0503706859
2015-03-06,2.5359203432
2015-03-07,5.7767718584
2015-03-08,2.8284639942000003
2015-03-09,19.498908306500002
2015-03-10,2.7516138324000003
2015-03-11,2.7328723824
2015-03-13,4.1608974435
2015-03-16,4.871216013300001
2015-03-17,3.0300223135999995
2015-03-18,4.030602620700001
2015-03-19,6.0496845588
2015-03-20,13.6840106454
2015-03-21,3.1528309020000003
2015-03-22,2.769958392
2015-03-23,4.8748576933
2015-03-24,2.9678350757
2015-03-25,4.154351929
2015-03-26,5.144150687
2015-03-27,7.9871963059999995
2015-03-28,2.881635101
2015-03-29,3.5652665160000003
2015-03-30,53.4797904938
2015-03-31,3.885811648
2015-04-01,5.2494105090000005
2015-04-02,6.393784738400001
2015-04-03,5.024370624
2015-04-04,15.302652534399998
2015-04-05,4.360579187
2015-04-06,4.5550391408
2015-04-07,6.2498765824
2015-04-08,4.81321068
2015-04-09,5.096952168
2015-04-10,6.209294582400001
2015-04-11,10.588586138900002
2015-04-12,6.940150983600001
2015-04-13,6.3650090613999994
2015-04-14,7.446686953
2015-04-15,9.400026828800002
2015-04-16,9.059732067
2015-04-17,8.4008128896
2015-04-18,7.149158666251937
2015-04-19,6.78460934882379
2015-04-20,8.27193921481235
2015-04-21,11.921807253592045
2015-04-22,6.747866319111127
2015-04-23,7.108110358250448
2015-04-24,9.647155646041064
2015-04-25,6.97958369147347
2015-04-26,8.15198500658553
2015-04-27,8.50345324619703
2015-04-28,6.333254178800001
2015-04-29,6.5687201139999996
2015-05-01,23.6141937912
2015-05-02,16.7645700915
2015-05-03,15.4136925504
2015-05-04,14.914553174899998
2015-05-05,15.4680873894
2015-05-06,14.6147310404
2015-05-07,18.4801284396
2015-05-08,237.5738157208
2015-05-09,16.506122709600003
2015-05-10,19.388125161
2015-05-11,13.9574450425
2015-05-12,10.1815993953
2015-05-13,11.998614441600001
2015-05-14,13.3886477504
2015-05-15,14.8447481848
2015-05-16,10.7828141999
2015-05-17,10.2272046016
2015-05-18,11.2552535058
2015-05-19,12.6231011985
2015-05-20,16.9623186
2015-05-21,9.677480897099999
2015-05-22,9.004757361600001
2015-05-23,10.216766554400001
2015-05-24,11.7580885876
2015-05-25,11.6313198312
2015-05-26,8.7510340428
2015-05-27,9.283632275
2015-05-28,8.7866707164
2015-05-29,18.1100805674
2015-05-30,8.9084080732
2015-05-31,13.156954907400001
2015-06-01,10.43687580031621
2015-06-02,16.0783862175112
2015-06-03,15.187718203119262
2015-06-04,13.025324146766364
2015-06-05,14.234187174801553
2015-06-06,24.827493678622904
2015-06-07,17.72708483829485
2015-06-08,14.150862955729579
2015-06-09,16.53598408648955
2015-06-10,30.266839769088907
2015-06-11,18.367130548834563
2015-06-12,23.107347661766344
2015-06-13,16.85417421421085
2015-06-14,14.9022763688
