=== Sun Jul 27 11:23:20 PM EDT 2025 ===
Linux 6.8.0-63-generic (dewey-ubuntu) 	07/27/2025 	_x86_64_	(20 CPU)

11:23:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:23:32 PM   15   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:23:32 PM   16   79.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   21.00
11:23:32 PM   17   35.05    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   63.92
11:23:32 PM   18   54.46    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   44.55
11:23:32 PM   19   82.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   14.00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   61.89    0.00    0.95    0.05    0.00    0.05    0.00    0.00    0.00   37.06
Average:       0   33.33    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   64.65
Average:       1   83.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   16.16
Average:       2    2.02    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   95.96
Average:       3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       4   39.39    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   58.59
Average:       5   58.59    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   40.40
Average:       6    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
Average:       7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       8    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
Average:       9   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      10    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
Average:      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      12   64.65    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   34.34
Average:      13   98.02    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.99
Average:      14  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      15   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      16   79.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   21.00
Average:      17   35.05    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   63.92
Average:      18   54.46    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   44.55
Average:      19   82.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   14.00
=== Sun Jul 27 11:23:42 PM EDT 2025 ===
Linux 6.8.0-63-generic (dewey-ubuntu) 	07/27/2025 	_x86_64_	(20 CPU)

11:23:42 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:23:43 PM  all   50.95    0.00    0.80    0.00    0.00    0.05    0.00    0.00    0.00   48.20
11:23:43 PM    0    1.02    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   97.96
11:23:43 PM    1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:23:43 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:23:43 PM    3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:23:43 PM    4    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:23:43 PM    5   98.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
11:23:43 PM    6   76.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   24.00
11:23:43 PM    7   24.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.00
11:23:43 PM    8  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:23:43 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:23:43 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:23:43 PM   11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
