parameter,mu_star,sigma,mu,mu_star_conf,range_OOM,mu_star_norm,sigma_norm
aero_k_o2,346.2420800685503,642.9161364115798,119.44675507878893,212.42226861393036,2.0,346.2420800685505,642.9161364115802
aero_rate,321.71732682414415,558.2342029066757,-214.75589979409796,236.56038009281176,2.0,321.7173268241443,558.2342029066759
root_resp,166.76739483520507,469.474099626015,-34.50835918776245,190.0504408877909,2.0,166.76739483520515,469.47409962601523
denit_k_acceptor,104.87901129838035,468.92155889332696,-104.84111209291582,205.88018407920288,2.0,104.87901129838039,468.9215588933272
denit_rmax,103.8811427538877,464.41194655065544,103.85773513209645,244.23683251533285,2.0,103.88114275388774,464.41194655065567
msr_k_donor,97.99372768255968,419.78071475958706,-97.73534301283985,187.47457193647458,2.0,97.99372768255972,419.7807147595872
fh_rmax,21.337513323429278,23.96724468567944,-14.855229366487313,8.077655093047781,1.0,42.675026646858576,47.9344893713589
fh_k_donor,13.481559181785439,18.577350243491217,0.06593557986713741,5.667900235355541,1.0,26.96311836357089,37.15470048698245
gt_rmax,12.323122120352874,23.06006867041008,-9.56629683006965,9.792306141021202,2.0,12.32312212035288,23.06006867041009
gt_k_donor,3.7796943274559345,7.027087470484478,0.9212387119408157,2.5792757067712833,2.0,3.7796943274559363,7.0270874704844815
msr_rmax,2.136041630991302,3.2274938573181533,0.8892077542949341,1.0830520843116132,2.0,2.136041630991303,3.2274938573181546
msr_k_acceptor,0.5068322893371254,1.12731798978853,-0.12451408682811241,0.35473658774776656,2.0,0.5068322893371257,1.1273179897885304
denit_k_donor,0.032373093421439236,0.06485150175875855,0.0021576205867168243,0.02487607908613507,2.0,0.03237309342143925,0.06485150175875858
calcite_rate,0.011361548762012053,0.014392921867366992,0.003950398343155559,0.0042739210048631715,2.0,0.011361548762012058,0.014392921867366999
fh_SA,0.0,0.0,0.0,0.0,2.000000000000001,0.0,0.0
gt_SA,0.0,0.0,0.0,0.0,2.0,0.0,0.0
