parameter,mu_star,sigma,mu,mu_star_conf,range_OOM,mu_star_norm,sigma_norm
root_resp,23.905407894424986,31.723404633910064,15.400292098851736,11.341255580487527,2.0,23.905407894424997,31.72340463391008
aero_k_o2,11.41339061852212,30.634540848827168,-2.285952461171491,11.179432536138675,2.0,11.413390618522126,30.634540848827182
aero_rate,4.984186870122455,15.459178240430182,-0.1782856491071289,6.288478603877432,2.0,4.984186870122457,15.45917824043019
msr_k_donor,4.8892156524277635,20.864867502129023,-4.4946150612933975,9.171963138257466,2.0,4.889215652427765,20.864867502129034
denit_rmax,4.4943137371885005,20.090152265502226,4.490177355571104,8.848459776712543,2.0,4.494313737188502,20.090152265502237
denit_k_acceptor,4.485071356165954,20.049795714930216,-4.481628678708322,7.20467972443572,2.0,4.485071356165956,20.049795714930227
fh_rmax,0.8691772436326021,1.3269115137610425,0.7967324911128078,0.5152643539851218,1.0,1.7383544872652048,2.6538230275220864
fh_k_donor,0.805701146287681,1.5572055039618313,-0.7018118375259481,0.6235978824901495,1.0,1.6114022925753626,3.114411007923664
msr_rmax,0.3884849143298045,0.7510084063697805,-0.27065420060195067,0.2933868525457699,2.0,0.38848491432980464,0.7510084063697808
msr_k_acceptor,0.14483738836576796,0.29441793940361105,0.12982119219754656,0.12371242059757273,2.0,0.144837388365768,0.29441793940361116
gt_rmax,0.08601764955046601,0.1657837112705998,-0.07325930189547214,0.06392113791866616,2.0,0.08601764955046605,0.16578371127059988
gt_k_donor,0.04725975203381722,0.08259647097577374,0.037038049323308994,0.03154717083488765,2.0,0.04725975203381724,0.08259647097577379
calcite_rate,0.0012863315997093227,0.0019070480388426474,0.0007691290216155667,0.0006649011125009121,2.0,0.0012863315997093234,0.0019070480388426482
denit_k_donor,0.0011093274011265142,0.0016605410653035425,0.0007436062443177515,0.000678104018053475,2.0,0.0011093274011265146,0.0016605410653035431
fh_SA,0.0,0.0,0.0,0.0,2.000000000000001,0.0,0.0
gt_SA,0.0,0.0,0.0,0.0,2.0,0.0,0.0
