parameter,mu_star,sigma,mu,mu_star_conf,range_OOM,mu_star_norm,sigma_norm
root_resp,15.506002212088593,15.680890097250389,11.01267674017102,5.379866886948616,2.0,15.5060022120886,15.680890097250396
aero_k_o2,6.691243161527815,17.85609255468722,-1.283626832643215,6.6959391070516325,2.0,6.691243161527818,17.856092554687226
aero_rate,2.942258826753304,8.703497549389986,-0.2583074689292434,3.781992261060267,2.0,2.942258826753305,8.70349754938999
denit_k_acceptor,2.602090864318197,11.63492456219526,-2.601475987497808,4.080215168360914,2.0,2.6020908643181984,11.634924562195266
msr_k_donor,2.5994878623317605,11.430261034195038,-2.5946906838708808,4.922592077242445,2.0,2.599487862331762,11.430261034195043
denit_rmax,2.5988490010853567,11.62085273215717,2.5982494123554156,4.403128024059344,2.0,2.598849001085358,11.620852732157175
fh_k_donor,0.6508150492185495,1.0633526809861502,-0.026249387225343666,0.3585122091958331,1.0,1.3016300984370996,2.1267053619723013
fh_rmax,0.44660740285525147,0.8358828248700051,-0.11768262377814746,0.2763386461344528,1.0,0.8932148057105034,1.6717656497400109
gt_rmax,0.3391627709382672,0.6405918675844164,-0.334239554447005,0.3383267622211573,2.0,0.33916277093826736,0.6405918675844168
gt_k_donor,0.2021842263893089,0.4032591378995639,0.19945687091787284,0.17110829427007385,2.0,0.202184226389309,0.4032591378995641
msr_rmax,0.1066671740770581,0.15212658251029587,0.09048546859039537,0.05584060071900071,2.0,0.10666717407705814,0.15212658251029593
msr_k_acceptor,0.025957467661327893,0.04974634170925328,-0.011204387451753315,0.018869747673391904,2.0,0.025957467661327904,0.0497463417092533
calcite_rate,0.003453380315977908,0.00779478149581158,0.0030446776239960146,0.003178403742911162,2.0,0.00345338031597791,0.007794781495811583
denit_k_donor,0.00021999716573062322,0.0002916597561102423,-1.89209304473692e-05,7.725007399012206e-05,2.0,0.00021999716573062333,0.0002916597561102424
fh_SA,0.0,0.0,0.0,0.0,2.000000000000001,0.0,0.0
gt_SA,0.0,0.0,0.0,0.0,2.0,0.0,0.0
