parameter,mu_star,sigma,mu,mu_star_conf,range_OOM,mu_star_norm,sigma_norm
aero_k_o2,313.03050596014,557.636066148114,126.86612302893175,206.6740407813586,2.0,313.0305059601401,557.6360661481142
aero_rate,307.0158298489488,517.6203763715052,-214.13873442824223,174.5746275911291,2.0,307.0158298489489,517.6203763715055
root_resp,93.27347065472854,395.923687024906,-86.73344669623245,177.84304912282292,2.0,93.27347065472858,395.92368702490614
denit_k_acceptor,91.33452349903533,408.3658865271256,-91.30579429341547,203.21325828043098,2.0,91.33452349903537,408.3658865271258
denit_rmax,90.31546103976112,403.74477384771126,90.29833527733376,176.93546826429306,2.0,90.31546103976116,403.74477384771143
msr_k_donor,84.4543988166857,358.13637204474253,-84.32258909099406,149.69432247627867,2.0,84.45439881668574,358.1363720447427
fh_rmax,21.73325100457854,21.71501918923806,-17.925058516959954,7.978739490556057,1.0,43.466502009157104,43.43003837847614
gt_rmax,12.531721438773602,23.15387689280552,-8.730982416255634,8.487176330796348,2.0,12.531721438773607,23.15387689280553
fh_k_donor,10.558405669020726,14.482349019051728,3.4358299725177686,4.265421994010729,1.0,21.11681133804146,28.96469803810347
gt_k_donor,4.012847740878315,7.786637171708461,0.444910517424287,2.8932018645899915,2.0,4.012847740878317,7.786637171708464
msr_rmax,2.692359901755867,4.428807975043384,1.4765379175207536,1.6800027612308626,2.0,2.6923599017558684,4.4288079750433855
msr_k_acceptor,0.535967984331554,1.3329243777822337,-0.46917089162115266,0.5964313428125391,2.0,0.5359679843315542,1.3329243777822344
denit_k_donor,0.03348781590224559,0.06371194872134572,0.00024176407191665029,0.022674745935160782,2.0,0.0334878159022456,0.06371194872134575
calcite_rate,0.005134013791969094,0.008211464002343353,0.004138741780705191,0.0035297141813881057,2.0,0.005134013791969097,0.008211464002343356
fh_SA,0.0,0.0,0.0,0.0,2.000000000000001,0.0,0.0
gt_SA,0.0,0.0,0.0,0.0,2.0,0.0,0.0
