parameter,mu_star,sigma,mu,mu_star_conf,range_OOM,mu_star_norm,sigma_norm
root_resp,37.37553966027292,42.49371831056133,25.697274176177082,13.459739705768769,2.0,37.375539660272935,42.49371831056135
aero_k_o2,17.20747822010187,44.857777515526436,-3.96463314959826,17.219424894396344,2.0,17.207478220101876,44.85777751552646
aero_rate,7.357085591182747,22.295935845637917,-0.18057224781944176,9.383946391266234,2.0,7.35708559118275,22.295935845637928
msr_k_donor,7.037619566006197,29.896295840706863,-6.438292669951684,13.399865266140594,2.0,7.0376195660062,29.896295840706877
denit_rmax,6.593259460709502,29.469768787514337,6.585817580106297,13.214003132938847,2.0,6.593259460709505,29.46976878751435
denit_k_acceptor,6.57434066641755,29.3845531489624,-6.567057626564353,12.203245388165366,2.0,6.5743406664175525,29.384553148962414
fh_k_donor,3.23301455256212,6.34554720066129,-2.641833167899341,2.2453018643992753,1.0,6.4660291051242424,12.691094401322585
fh_rmax,2.795363249956673,5.020409250714057,2.3907792831379817,2.4070338593682763,1.0,5.590726499913349,10.04081850142812
msr_rmax,0.7215235228722732,1.4199093708424975,-0.407161431214263,0.5441162282154336,2.0,0.7215235228722735,1.4199093708424981
gt_rmax,0.4740904517327193,0.9065745167690917,-0.42781555747153055,0.3462353280914356,2.0,0.4740904517327195,0.9065745167690922
gt_k_donor,0.27175720997679653,0.5350056666672663,0.23983327427534626,0.20833433181434263,2.0,0.27175720997679664,0.5350056666672666
msr_k_acceptor,0.26378799440921685,0.5352843713174571,0.22604000004724364,0.19651279347205386,2.0,0.26378799440921696,0.5352843713174573
calcite_rate,0.010196433082141132,0.01801028080344835,-0.00400215008317153,0.007233731804458366,2.0,0.010196433082141137,0.018010280803448356
denit_k_donor,0.0017656736701527841,0.0028392884746150904,0.001191171200928226,0.0010873243899703316,2.0,0.001765673670152785,0.0028392884746150917
fh_SA,0.0,0.0,0.0,0.0,2.000000000000001,0.0,0.0
gt_SA,0.0,0.0,0.0,0.0,2.0,0.0,0.0
