northing, easting, longitude, latitude,DEM_ER
4310018.483,330971.3447,-106.949821,38.92281309,2759.360107
4310018.424,330971.8447,-106.9498153,38.92281265,2759.389893
4310018.365,330972.3447,-106.9498095,38.92281222,2759.370117
4310018.306,330972.8447,-106.9498037,38.92281178,2759.399902
4310018.246,330973.3447,-106.9497979,38.92281134,2759.399902
4310018.187,330973.8447,-106.9497921,38.9228109,2759.120117
4310018.128,330974.3447,-106.9497864,38.92281047,2758.899902
4310018.069,330974.8447,-106.9497806,38.92281003,2758.77002
4310018.01,330975.3447,-106.9497748,38.9228096,2758.600098
4310017.951,330975.8447,-106.949769,38.92280916,2758.580078
4310017.892,330976.3447,-106.9497633,38.92280873,2758.580078
4310017.833,330976.8447,-106.9497575,38.92280829,2758.540039
4310017.773,330977.3447,-106.9497517,38.92280785,2758.550049
4310017.714,330977.8447,-106.9497459,38.92280741,2758.540039
4310017.655,330978.3447,-106.9497401,38.92280698,2758.72998
4310017.596,330978.8447,-106.9497344,38.92280654,2759.050049
4310017.537,330979.3447,-106.9497286,38.92280611,2759.030029
4310017.478,330979.8447,-106.9497228,38.92280567,2759.02002
4310017.419,330980.3447,-106.949717,38.92280524,2759.02002
4310017.359,330980.8447,-106.9497112,38.92280479,2758.929932
4310017.3,330981.3447,-106.9497055,38.92280436,2758.810059
4310017.241,330981.8447,-106.9496997,38.92280392,2758.530029
4310017.182,330982.3447,-106.9496939,38.92280349,2758.429932
4310017.123,330982.8447,-106.9496881,38.92280305,2758.419922
4310017.064,330983.3447,-106.9496823,38.92280262,2758.409912
4310017.005,330983.8447,-106.9496766,38.92280218,2758.389893
4310016.946,330984.3447,-106.9496708,38.92280175,2758.399902
4310016.886,330984.8447,-106.949665,38.9228013,2758.449951
4310016.827,330985.3447,-106.9496592,38.92280087,2758.459961
4310016.768,330985.8447,-106.9496534,38.92280043,2758.389893
4310016.709,330986.3447,-106.9496477,38.9228,2758.340088
4310016.65,330986.8447,-106.9496419,38.92279956,2758.280029
