northing, easting, longitude, latitude,DEM_ER
4310023.923,330925.3447,-106.9503527,38.92285322,2759.300049
4310023.864,330925.8447,-106.9503469,38.92285278,2759.290039
4310023.805,330926.3447,-106.9503412,38.92285235,2759.370117
4310023.746,330926.8447,-106.9503354,38.92285191,2759.659912
4310023.687,330927.3447,-106.9503296,38.92285148,2759.800049
4310023.627,330927.8447,-106.9503238,38.92285103,2759.870117
4310023.568,330928.3447,-106.9503181,38.9228506,2759.929932
4310023.509,330928.8447,-106.9503123,38.92285016,2759.959961
4310023.45,330929.3447,-106.9503065,38.92284973,2759.919922
4310023.391,330929.8447,-106.9503007,38.92284929,2759.870117
4310023.332,330930.3447,-106.9502949,38.92284886,2759.830078
4310023.273,330930.8447,-106.9502892,38.92284842,2759.790039
4310023.214,330931.3447,-106.9502834,38.92284799,2759.75
4310023.154,330931.8447,-106.9502776,38.92284754,2759.77002
4310023.095,330932.3447,-106.9502718,38.92284711,2759.780029
4310023.036,330932.8447,-106.950266,38.92284667,2759.77002
4310022.977,330933.3447,-106.9502603,38.92284624,2759.709961
4310022.918,330933.8447,-106.9502545,38.9228458,2759.77002
4310022.859,330934.3447,-106.9502487,38.92284537,2759.73999
4310022.8,330934.8447,-106.9502429,38.92284493,2759.719971
4310022.741,330935.3447,-106.9502371,38.9228445,2759.669922
4310022.681,330935.8447,-106.9502314,38.92284405,2759.669922
4310022.622,330936.3447,-106.9502256,38.92284362,2759.669922
4310022.563,330936.8447,-106.9502198,38.92284318,2759.669922
4310022.504,330937.3447,-106.950214,38.92284275,2759.669922
4310022.445,330937.8447,-106.9502082,38.92284231,2759.669922
4310022.386,330938.3447,-106.9502025,38.92284188,2759.669922
4310022.327,330938.8447,-106.9501967,38.92284144,2759.669922
4310022.267,330939.3447,-106.9501909,38.922841,2759.719971
4310022.208,330939.8447,-106.9501851,38.92284057,2759.699951
4310022.149,330940.3447,-106.9501794,38.92284013,2759.709961
4310022.09,330940.8447,-106.9501736,38.92283969,2759.669922
4310022.031,330941.3447,-106.9501678,38.92283926,2759.669922
4310021.972,330941.8447,-106.950162,38.92283882,2759.669922
4310021.913,330942.3447,-106.9501562,38.92283839,2759.669922
4310021.854,330942.8447,-106.9501505,38.92283795,2759.669922
4310021.794,330943.3447,-106.9501447,38.92283751,2759.689941
4310021.735,330943.8447,-106.9501389,38.92283708,2759.75
4310021.676,330944.3447,-106.9501331,38.92283664,2759.790039
4310021.617,330944.8447,-106.9501273,38.92283621,2759.870117
4310021.558,330945.3447,-106.9501216,38.92283577,2759.840088
4310021.499,330945.8447,-106.9501158,38.92283534,2759.860107
4310021.44,330946.3447,-106.95011,38.9228349,2759.959961
4310021.38,330946.8447,-106.9501042,38.92283446,2759.949951
4310021.321,330947.3447,-106.9500984,38.92283402,2759.949951
4310021.262,330947.8447,-106.9500927,38.92283359,2759.889893
4310021.203,330948.3447,-106.9500869,38.92283315,2759.899902
4310021.144,330948.8447,-106.9500811,38.92283272,2759.889893
4310021.085,330949.3447,-106.9500753,38.92283228,2759.899902
4310021.026,330949.8447,-106.9500695,38.92283185,2759.830078
4310020.967,330950.3447,-106.9500638,38.92283141,2759.73999
4310020.907,330950.8447,-106.950058,38.92283097,2759.709961
4310020.848,330951.3447,-106.9500522,38.92283053,2759.629883
4310020.789,330951.8447,-106.9500464,38.9228301,2759.610107
4310020.73,330952.3447,-106.9500407,38.92282966,2759.48999
4310020.671,330952.8447,-106.9500349,38.92282923,2759.449951
4310020.612,330953.3447,-106.9500291,38.92282879,2759.449951
4310020.553,330953.8447,-106.9500233,38.92282836,2759.449951
4310020.493,330954.3447,-106.9500175,38.92282791,2759.449951
4310020.434,330954.8447,-106.9500118,38.92282748,2759.459961
4310020.375,330955.3447,-106.950006,38.92282704,2759.48999
4310020.316,330955.8447,-106.9500002,38.92282661,2759.48999
4310020.257,330956.3447,-106.9499944,38.92282617,2759.47998
4310020.198,330956.8447,-106.9499886,38.92282574,2759.51001
4310020.139,330957.3447,-106.9499829,38.9228253,2759.52002
4310020.08,330957.8447,-106.9499771,38.92282487,2759.52002
4310020.02,330958.3447,-106.9499713,38.92282442,2759.52002
4310019.961,330958.8447,-106.9499655,38.92282399,2759.530029
4310019.902,330959.3447,-106.9499597,38.92282355,2759.550049
4310019.843,330959.8447,-106.949954,38.92282312,2759.570068
4310019.784,330960.3447,-106.9499482,38.92282268,2759.580078
4310019.725,330960.8447,-106.9499424,38.92282225,2759.620117
4310019.666,330961.3447,-106.9499366,38.92282181,2759.689941
4310019.606,330961.8447,-106.9499308,38.92282137,2759.719971
4310019.547,330962.3447,-106.9499251,38.92282093,2759.629883
4310019.488,330962.8447,-106.9499193,38.9228205,2759.580078
4310019.429,330963.3447,-106.9499135,38.92282006,2759.560059
4310019.37,330963.8447,-106.9499077,38.92281963,2759.540039
4310019.311,330964.3447,-106.949902,38.92281919,2759.5
4310019.252,330964.8447,-106.9498962,38.92281876,2759.5
4310019.193,330965.3447,-106.9498904,38.92281832,2759.51001
4310019.133,330965.8447,-106.9498846,38.92281788,2759.449951
4310019.074,330966.3447,-106.9498788,38.92281744,2759.469971
4310019.015,330966.8447,-106.9498731,38.92281701,2759.47998
4310018.956,330967.3447,-106.9498673,38.92281657,2759.469971
4310018.897,330967.8447,-106.9498615,38.92281614,2759.399902
4310018.838,330968.3447,-106.9498557,38.9228157,2759.280029
4310018.779,330968.8447,-106.9498499,38.92281527,2759.26001
4310018.719,330969.3447,-106.9498442,38.92281483,2759.290039
4310018.66,330969.8447,-106.9498384,38.92281439,2759.280029
4310018.601,330970.3447,-106.9498326,38.92281396,2759.330078
4310018.542,330970.8447,-106.9498268,38.92281352,2759.320068
