date,nitrate
YYYY-MM-DD,uM
2018-02-09,0.0736
2018-02-12,0.0
2018-02-15,3.6828
2018-02-18,0.33
2018-02-21,0.0906
2018-02-24,0.1215
2018-02-27,0.0357
2018-03-02,0.0623
2018-03-05,0.1291
2018-03-08,4.075
2018-03-11,0.0384
2018-03-14,0.1146
2018-03-17,0.0898
2018-03-20,1.8373
2018-03-23,0.0373
2018-03-26,0.0664
2018-03-29,0.0319
2018-04-01,0.0207
2018-04-04,0.0758
2018-04-07,0.0
2018-04-10,3.323
2018-04-13,2.1604
2018-04-16,2.8596
2018-04-18,0.1332
2018-04-20,0.2928
2018-04-22,4.7715
2018-04-24,0.0434
2018-04-26,0.0
2018-04-28,0.1502
2018-04-30,5.7107
2018-05-02,0.0682
2018-05-04,0.1924
2018-05-06,3.0272
2018-05-08,3.4583
2018-05-10,0.0818
2018-05-12,1.7425
2018-05-14,4.601
2018-05-16,0.0
2018-05-18,1.7261
2018-05-20,0.1212
2018-05-22,0.0266
2018-05-24,0.0
2018-05-26,0.0
2018-05-28,0.3471
2018-05-30,0.133
2018-06-01,0.3896
2018-06-03,0.0703
2018-06-05,5.5632
2018-06-07,17.6177
2018-06-09,0.9659
2018-06-11,0.2079
2018-06-13,1.6454
2018-06-15,0.0591
2018-06-17,0.1472
2018-06-19,0.168
2018-06-21,0.1138
2018-06-23,0.2935
2018-06-25,0.2636
2018-06-27,0.1072
2018-06-29,0.0
2018-07-01,0.0
2018-07-03,0.0288
2018-07-05,1.1736
2018-07-07,0.1832
2018-07-09,0.0834
2018-07-11,0.1257
2018-07-13,0.0
2018-07-15,0.0571
2018-07-17,0.2181
2018-07-19,0.1601
2018-07-21,0.0
2018-07-23,0.2596
2018-07-25,0.0
2018-07-27,0.0412
2018-07-29,0.0
2018-07-31,0.0208
2018-08-02,0.068
2018-08-04,0.1135
2018-08-06,0.0461
2018-08-08,0.0
2018-08-10,0.0331
2018-08-12,0.1342
2018-08-14,0.0
2018-08-16,0.1564
2018-08-18,0.1213
2018-08-20,0.109
2018-08-22,0.0916
2018-08-24,0.3749
2018-08-25,1.7589
2018-08-26,0.3752
2018-08-28,0.8354
2018-08-30,0.1272
2018-09-01,0.1379
2018-09-03,0.1745
2018-09-05,0.1059
2018-09-07,0.5418
2018-09-09,1.6987
2018-09-11,4.1364
2018-09-13,3.9161
2018-09-15,0.6539
2018-09-17,3.8944
2018-09-19,2.7999
2018-09-21,0.1502
2018-09-23,20.6976
2018-09-25,0.4838
2018-09-27,0.1621
2018-09-29,0.1826
2018-10-01,2.4144
2018-10-03,3.5534
2018-10-05,6.0984
2018-10-07,28.6491
2018-10-09,4.1772
2018-10-11,3.9264
2018-11-16,0.064
2018-11-19,0.0166
2018-11-22,0.7092
2018-11-25,0.6205
2018-11-28,0.4294
2018-12-01,0.568
2018-12-04,0.1648
2018-12-07,0.935
2018-12-10,0.009
2018-12-13,0.0281
2018-12-16,0.0
2018-12-19,0.1331
2018-12-22,0.3584
2018-12-25,0.1792
2018-12-28,0.0389
2018-12-31,0.1362
2019-01-03,0.0
2019-01-06,0.0743
2019-01-09,0.0
2019-01-12,0.1712
2019-01-15,0.0
2019-01-18,1.3556
2019-01-21,0.3967
2019-01-24,0.898
2019-01-27,0.7596
2019-01-30,1.0411
2019-02-02,0.6489
2019-02-05,0.9793
2019-02-08,1.015
2019-02-11,0.6691
2019-02-14,0.7535
2019-02-17,0.7351
2019-02-20,0.616
2019-02-23,0.4002
2019-02-26,0.2964
2019-03-01,0.2359
2019-03-04,0.0
2019-03-07,0.0
2019-03-10,0.0224
2019-03-13,0.6191
2019-03-16,1.0336
2019-03-19,0.7544
2019-03-22,1.2523
2019-03-25,0.8969
2019-03-28,1.273
2019-03-31,0.9199
2019-04-03,0.6438
2019-04-06,0.5372
2019-04-09,0.6766
2019-04-12,0.598
2019-04-15,0.0
2019-04-18,2.2173
2019-04-21,1.0116
2019-04-24,2.8918
2019-04-25,4.0471
2019-04-27,5.9417
2019-04-29,7.9885
2019-05-01,7.4485
2019-05-03,5.9059
2019-05-05,5.2223
2019-05-07,6.2892
2019-05-09,6.5983
2019-05-11,5.5658
2019-05-13,5.3549
2019-05-15,6.8043
2019-05-17,7.1194
2019-05-19,6.1937
2019-05-21,5.2356
2019-05-23,4.0146
2019-05-25,2.7755
2019-05-27,3.8542
2019-05-29,3.377
2019-05-31,3.5373
2019-06-02,4.562
2019-06-04,4.347
2019-06-06,4.7567
2019-06-08,4.9613
2019-06-10,6.4385
2019-06-11,0.0
2019-06-12,0.1793
2019-06-13,0.1255
2019-06-14,0.0
2019-06-15,0.1861
2019-06-16,0.2807
2019-06-17,1.2153
2019-06-18,0.0666
2019-06-19,0.056
2019-06-20,0.0786
2019-06-21,0.1583
2019-06-22,0.1301
2019-06-23,0.3531
2019-06-24,0.0724
2019-06-25,0.3189
2019-06-26,0.1093
2019-06-27,0.312
2019-06-28,0.1592
2019-06-29,0.0412
2019-06-30,0.2246
2019-07-01,0.0548
2019-07-02,0.1257
2019-07-03,0.277
2019-07-04,0.1128
2019-07-07,4.6567
2019-07-09,5.1819
2019-07-11,1.1643
2019-07-13,1.1702
2019-07-15,0.9585
2019-07-17,0.5547
2019-07-19,1.4389
2019-07-21,0.6808
2019-07-23,0.6682
2019-07-25,1.5083
2019-07-27,1.2089
2019-07-29,2.1203
2019-07-31,1.5048
2019-08-02,0.4576
2019-08-04,0.3153
2019-08-06,1.2261
2019-08-08,0.4515
2019-08-10,0.8022
2019-08-12,2.0703
2019-08-14,1.652
2019-08-18,2.3389
2019-08-20,2.6587
2019-08-22,0.0617
2019-08-24,0.0428
2019-08-26,0.0445
2019-08-28,0.2198
2019-08-30,0.0356
2019-09-01,0.0796
2019-09-03,0.0304
2019-09-05,0.0276
2019-09-07,0.0122
2019-09-09,0.0387
2019-09-11,0.0508
2019-09-13,0.0479
2019-09-15,0.0431
2019-09-17,0.0396
2019-09-19,0.0207
2019-09-21,0.03
2019-09-23,0.0443
2019-09-25,0.3907
2019-09-27,0.03
2019-09-29,0.0123
2019-10-01,0.57
2019-10-03,1.204
2019-10-05,8.9031
2019-10-07,0.5837
2019-10-09,0.2436
2019-10-11,0.2313
2019-10-13,0.3959
2019-10-15,0.6976
2019-10-17,0.6602
2019-10-19,0.8879
2019-10-23,0.1239
2019-10-25,0.3672
2019-10-27,1.4845
2019-10-30,2.5686
2019-11-05,0.9609
2019-11-07,1.224
2019-11-08,0.9587
2019-11-11,0.3208
2019-11-14,0.1114
2019-11-20,0.8096
2019-11-23,0.5526
2019-11-29,0.8234
2019-12-02,1.4916
2019-12-05,0.9672
2019-12-08,0.9854
2019-12-11,0.8329
2019-12-14,0.9884
2019-12-17,3.4548
2019-12-20,2.1422
2019-12-23,3.1709
2019-12-29,5.1374
2020-01-01,6.1293
2020-01-07,5.7569
2020-03-30,7.0484
2020-04-07,5.843
2020-04-17,6.268
2020-04-21,5.0782
2020-04-30,0.2466
2020-05-02,0.1389
2020-05-04,0.4157
2020-05-06,0.1769
2020-05-12,0.7979
2020-05-14,1.1582
2020-05-16,0.3577
2020-05-18,0.3937
2020-05-20,0.7964
2020-05-22,1.8528
2020-05-24,1.5025
2020-05-26,2.1087
2020-05-28,3.1346
2020-05-30,1.8367
2020-06-01,2.5352
2020-06-03,2.79
2020-06-05,3.0491
2020-06-07,3.3865
2020-06-09,3.2777
2020-06-11,3.1039
2020-06-13,2.473
2020-06-15,2.4736
2020-06-16,2.6509
2020-06-18,2.0264
2020-06-20,2.7038
2020-06-22,2.8638
2020-06-24,2.3938
2020-06-26,2.2148
2020-06-28,2.0587
2020-06-30,2.6611
2020-07-02,2.4779
2020-07-04,0.3619
2020-07-06,0.4911
2020-07-08,0.4543
2020-07-10,0.6766
2020-07-12,0.4646
2020-07-14,0.2692
2020-07-16,0.2796
2020-07-18,0.7744
2020-07-20,0.1237
2020-07-22,0.1654
2020-07-24,0.1197
2020-07-26,1.0234
2020-07-28,0.7377
2020-07-30,1.4885
2020-08-02,1.2678
2020-08-05,0.46
2020-08-07,1.38
2020-08-09,0.27
2020-08-11,0.49
2020-08-13,2.28
2020-08-15,0.23
2020-08-17,0.26
2020-08-19,0.58
2020-08-21,0.83
2020-08-23,0.96
2020-08-25,0.89
2020-08-27,0.151
2020-08-29,0.4493
2020-08-31,0.2708
2020-09-02,0.9575
2020-09-04,0.9213
2020-09-06,0.9575
2020-09-08,0.622
2020-09-10,1.1121
2020-09-12,0.8461
2020-09-14,1.1105
2020-09-16,1.1209
2020-09-17,0.43
2020-09-19,0.36
2020-09-21,0.64
2020-09-23,0.48
2020-09-25,0.49
2020-09-27,0.52
2020-09-29,0.58
2020-10-01,0.79
2020-10-03,0.9
2020-10-05,0.67
2020-10-07,0.57
2020-10-09,0.78
2020-10-11,0.93
2020-10-13,0.8
2020-10-15,0.37
2020-10-17,0.44
2020-10-19,0.93
2020-10-21,0.31
2020-10-23,0.52
2020-10-25,0.47
2020-10-27,0.65
2020-11-05,0.32
2020-11-08,0.07
2020-11-11,0.04
2020-11-14,0.69
2020-11-17,0.89
2020-11-20,0.04
2020-11-23,0.47
2020-11-26,0.87
2020-11-29,0.97
