date,sulfate
YYYY-MM-DD,uM
2018-02-09,627.0146
2018-02-12,620.1641
2018-02-15,616.5438
2018-02-18,627.0527
2018-02-21,597.9677
2018-02-24,611.7425
2018-02-27,589.5582
2018-03-02,583.5306
2018-03-05,580.2455
2018-03-08,622.6259
2018-03-11,582.2579
2018-03-14,579.244
2018-03-17,582.1425
2018-03-20,638.2062
2018-03-23,568.6201
2018-03-26,592.8607
2018-03-29,583.579
2018-04-01,576.2988
2018-04-04,551.1498
2018-04-07,539.7469
2018-04-10,479.2145
2018-04-13,460.2695
2018-04-16,485.5188
2018-04-18,502.4361
2018-04-20,510.5482
2018-04-22,492.9387
2018-04-24,436.0922
2018-04-26,388.4036
2018-04-28,334.2171
2018-04-30,310.6051
2018-05-02,314.4534
2018-05-04,335.175
2018-05-06,306.2388
2018-05-08,282.9471
2018-05-10,229.4689
2018-05-12,236.0596
2018-05-14,242.9833
2018-05-16,226.2738
2018-05-18,211.3912
2018-05-20,231.1009
2018-05-22,244.6815
2018-05-24,230.4624
2018-05-26,223.7881
2018-05-28,231.1658
2018-05-30,242.5721
2018-06-01,240.0499
2018-06-03,242.907
2018-06-05,246.5549
2018-06-07,255.3728
2018-06-09,298.9218
2018-06-11,308.3893
2018-06-13,313.6056
2018-06-15,305.0115
2018-06-17,250.8474
2018-06-19,274.6154
2018-06-21,310.3141
2018-06-23,335.2237
2018-06-25,325.4646
2018-06-27,343.8852
2018-06-29,330.196
2018-07-01,348.1629
2018-07-03,354.014
2018-07-05,363.7602
2018-07-07,366.9106
2018-07-09,370.6128
2018-07-11,367.9176
2018-07-13,370.0269
2018-07-15,383.3307
2018-07-17,393.6824
2018-07-19,399.4057
2018-07-21,407.7847
2018-07-23,422.7014
2018-07-25,422.3336
2018-07-27,431.7407
2018-07-29,433.9776
2018-07-31,442.4042
2018-08-02,452.1628
2018-08-04,455.3357
2018-08-06,470.9387
2018-08-08,464.6261
2018-08-10,466.4206
2018-08-12,476.5883
2018-08-14,482.2601
2018-08-16,486.8785
2018-08-18,480.3011
2018-08-20,492.7433
2018-08-22,482.988
2018-08-24,499.819
2018-08-25,505.0272
2018-08-26,498.1322
2018-08-28,503.4728
2018-08-30,505.777
2018-09-01,504.2043
2018-09-03,508.8149
2018-09-05,502.4801
2018-09-07,515.845
2018-09-09,606.9026
2018-09-11,534.1612
2018-09-13,535.076
2018-09-15,611.5958
2018-09-17,555.4832
2018-09-19,557.832
2018-09-21,625.5684
2018-09-23,601.4589
2018-09-25,559.9251
2018-09-27,601.3587
2018-09-29,571.6299
2018-10-01,549.2555
2018-10-03,543.3413
2018-10-05,569.2834
2018-10-07,598.1397
2018-10-09,560.9986
2018-10-11,535.781
2018-11-16,569.6958
2018-11-19,536.4086
2018-11-22,599.2984
2018-11-25,551.8531
2018-11-28,565.9939
2018-12-01,541.6214
2018-12-04,557.9798
2018-12-07,538.4424
2018-12-10,528.7381
2018-12-13,521.9534
2018-12-16,528.1959
2018-12-19,539.2491
2018-12-22,560.5223
2018-12-25,569.8101
2018-12-28,588.7308
2018-12-31,593.7445
2019-01-03,600.9678
2019-01-06,600.4564
2019-01-09,578.4248
2019-01-12,566.1173
2019-01-15,576.1351
2019-01-18,565.1563
2019-01-21,558.4462
2019-01-24,585.8074
2019-01-27,579.3965
2019-01-30,587.062
2019-02-02,591.2621
2019-02-05,592.8912
2019-02-08,592.4033
2019-02-11,598.3996
2019-02-14,598.4267
2019-02-17,606.3403
2019-02-20,602.4214
2019-02-23,601.3098
2019-02-26,602.4506
2019-03-01,587.9231
2019-03-04,572.557
2019-03-07,668.8054
2019-03-10,627.402
2019-03-13,655.7627
2019-03-16,631.5021
2019-03-19,622.0219
2019-03-22,638.5901
2019-03-25,624.1813
2019-03-28,655.8427
2019-03-31,649.63
2019-04-03,651.0317
2019-04-06,660.5013
2019-04-09,653.1007
2019-04-12,642.0526
2019-04-15,623.4123
2019-04-18,583.6848
2019-04-21,545.1466
2019-04-24,476.0285
2019-04-25,451.3707
2019-04-27,400.0931
2019-04-29,382.3942
2019-05-01,392.2359
2019-05-03,409.276
2019-05-05,409.4257
2019-05-07,385.9596
2019-05-09,366.1113
2019-05-11,370.415
2019-05-13,343.1322
2019-05-15,292.7217
2019-05-17,253.7407
2019-05-19,279.5918
2019-05-21,303.959
2019-05-23,336.8621
2019-05-25,335.1684
2019-05-27,308.9233
2019-05-29,307.0017
2019-05-31,285.572
2019-06-02,244.5129
2019-06-04,224.5515
2019-06-06,194.8293
2019-06-08,183.3846
2019-06-10,190.4414
2019-06-11,198.3226
2019-06-12,195.9281
2019-06-13,192.0915
2019-06-14,181.5831
2019-06-15,184.1095
2019-06-16,189.5325
2019-06-17,193.5547
2019-06-18,198.0823
2019-06-19,201.5844
2019-06-20,196.2076
2019-06-21,192.7301
2019-06-22,196.4366
2019-06-23,213.7964
2019-06-24,229.058
2019-06-25,225.9675
2019-06-26,217.0204
2019-06-27,204.7364
2019-06-28,200.3852
2019-06-29,191.9373
2019-06-30,178.6886
2019-07-01,185.2912
2019-07-02,193.347
2019-07-03,199.8664
2019-07-04,201.6353
2019-07-07,208.8334
2019-07-09,215.7919
2019-07-11,258.1613
2019-07-13,229.6911
2019-07-15,231.1899
2019-07-17,232.7497
2019-07-19,252.002
2019-07-21,243.7684
2019-07-23,271.8232
2019-07-25,265.5205
2019-07-27,281.8253
2019-07-29,293.5926
2019-07-31,272.2117
2019-08-02,292.8263
2019-08-04,295.0819
2019-08-06,298.0479
2019-08-08,309.3038
2019-08-10,309.1256
2019-08-12,318.2899
2019-08-14,336.0738
2019-08-18,358.667
2019-08-20,376.4042
2019-08-22,387.0025
2019-08-24,393.6579
2019-08-26,405.2353
2019-08-28,412.3736
2019-08-30,421.4517
2019-09-01,403.599
2019-09-03,440.7093
2019-09-05,441.5997
2019-09-07,441.9771
2019-09-09,442.261
2019-09-11,457.3373
2019-09-13,451.1297
2019-09-15,472.2625
2019-09-17,472.4354
2019-09-19,477.2152
2019-09-21,490.2614
2019-09-23,496.7832
2019-09-25,499.633
2019-09-27,506.0491
2019-09-29,507.0751
2019-10-01,510.7252
2019-10-03,518.0725
2019-10-05,503.7147
2019-10-07,506.8102
2019-10-09,512.7583
2019-10-11,535.7996
2019-10-13,533.4013
2019-10-15,525.7997
2019-10-17,530.196
2019-10-19,524.6933
2019-10-23,525.6287
2019-10-25,550.3564
2019-10-27,541.7553
2019-10-30,570.5688
2019-11-05,531.3866
2019-11-07,563.9395
2019-11-08,541.7095
2019-11-11,540.8556
2019-11-14,569.5973
2019-11-20,545.2468
