date,sulfate
YYYY-MM-DD,uM
2021-03-03,704.08
2021-03-19,692.94
2021-03-25,678.04
2021-04-07,772.35
2021-05-17,294.01
2021-05-28,227.34
2021-06-04,233.94
2021-06-11,226.09
2021-06-18,246.02
2021-06-24,262.6
2021-07-02,286.32
2021-07-09,317.48
2021-07-15,365.81
2021-07-23,343.96
2021-07-30,355.13
2021-07-31,347.74
2021-08-06,368.65
2021-08-13,399.76
2021-08-19,416.19
2021-08-27,463.24
2021-09-03,479.5899
2021-10-01,541.57
2021-10-07,540.68
2021-10-15,594.86
2021-10-22,519.86
2021-10-27,535.06
2021-11-03,561.05
2021-11-11,525.92
