date,phosphate
YYYY-MM-DD,uM
2018-01-23,0.0
2018-01-30,0.0
2018-02-06,0.0
2018-02-13,0.0
2018-02-20,0.0
2018-02-27,0.0
2018-03-06,0.0
2018-03-13,0.0
2018-03-20,0.0
2018-03-27,0.0
2018-04-03,0.0
2018-04-10,0.0
2018-04-17,0.0
2018-04-24,0.0
2018-05-01,0.0
2018-07-16,0.0
2018-07-23,0.0
2018-07-30,0.0
2018-08-06,0.0
2018-08-13,0.0
2018-08-20,0.0
2018-08-27,0.0
2018-09-04,0.0
2018-09-10,0.0
2018-09-17,0.0
2018-09-24,0.0
2018-10-01,0.0
2018-10-16,0.0
2018-10-29,0.0
2018-11-29,0.0
2018-12-04,0.0
2018-12-25,0.0
2019-01-01,0.0
2019-01-15,0.0
2019-02-05,0.0
2019-02-14,0.0
2019-02-19,0.0
2019-03-12,0.0
2019-04-23,0.0
2019-05-07,0.0
