date,chloride
YYYY-MM-DD,uM
2018-03-07,36.4697
2018-04-02,40.0996
2020-07-14,58.2419
2020-07-21,114.0765
2020-07-29,52.1894
2020-08-04,56.0172
2020-08-12,53.2811
2020-08-19,61.15
2020-08-24,68.88
2020-09-02,52.96
2020-09-10,54.89
2020-09-14,50.82
2020-09-23,48.76
2020-09-29,71.12
2020-10-05,58.22
2020-10-13,56.48
2020-10-20,59.88
2020-10-28,47.5
2020-11-03,42.05
2020-11-10,61.18
2020-11-19,44.04
2020-12-03,59.62
2021-01-20,59.67
2021-02-19,46.28
2021-03-09,56.68
2021-04-06,49.77
2021-04-28,16.0
2021-05-04,16.84
2021-05-13,18.63
2021-05-18,16.78
2021-05-27,20.73
2021-06-02,23.73
2021-06-08,26.0
2021-06-15,25.03
2021-06-22,18.34
2021-07-01,40.13
2021-07-07,75.32
2021-07-16,61.53
2021-07-20,83.88
2021-07-27,62.36
2021-08-04,63.71
2021-08-10,56.21
2021-08-17,53.88
2021-08-24,77.09
2021-08-31,59.96
2021-09-08,58.59
2021-09-27,57.19
2021-10-15,47.23
2021-10-20,56.99
2021-10-28,49.22
2021-11-04,68.08
2021-11-08,57.36
2021-12-01,51.58
2022-01-07,53.32
2022-02-03,212.83
2022-03-03,56.57
