date,sulfate
YYYY-MM-DD,uM
2020-06-03,8.41
2020-06-16,3.5737
2020-06-30,7.924
2020-07-14,5.6131
2020-07-21,4.8237
2020-07-29,11.1489
2020-08-04,7.9631
2020-08-12,4.8231
2020-08-14,5.33
2020-08-24,5.1844
2020-09-02,4.53
2020-09-10,5.33
2020-09-14,3.17
2020-09-23,1.89
2020-09-29,3.21
2020-10-05,3.74
2020-10-13,3.45
2020-10-20,3.78
2020-10-28,2.96
2020-11-03,2.31
2020-11-19,4.72
2020-12-03,6.09
2021-01-20,7.43
2021-02-19,4.72
2021-03-09,9.67
2021-04-28,7.28
2021-05-04,4.75
2021-05-13,12.45
2021-05-18,7.4
2021-06-02,6.63
2021-06-08,4.2
2021-06-15,6.75
2021-06-22,10.01
2021-07-01,6.52
2021-07-07,5.3
2021-07-20,10.95
2021-07-27,6.77
2021-08-04,4.97
2021-08-10,10.32
2021-08-17,10.27
2021-08-24,6.92
2021-08-31,3.79
2021-09-08,4.67
2021-09-27,6.5
2021-10-15,7.81
2021-10-20,7.39
2021-10-28,6.7
2021-11-04,25.02
2021-11-08,6.12
2021-12-01,4.15
2022-01-07,11.32
2022-02-03,18.43
2022-03-03,16.76
