date,sulfate
YYYY-MM-DD,uM
2020-10-13,22.27
2020-10-21,22.46
2020-10-28,24.33
2020-11-03,24.84
2020-11-11,22.73
2020-11-17,26.49
2020-11-25,23.9
2020-12-03,24.04
2020-12-09,23.89
2020-12-16,25.62
2020-12-26,23.98
2020-12-31,25.26
2021-01-07,27.65
2021-01-14,19.44
2021-01-21,21.16
2021-01-28,24.01
2021-02-07,23.71
2021-02-11,24.12
2021-02-19,23.7527
2021-02-27,22.0376
2021-03-05,25.46
2021-03-12,24.68
2021-03-19,24.67
2021-03-26,25.09
2021-04-03,27.69
2021-04-09,29.39
2021-04-16,31.07
2021-04-30,27.58
2021-05-19,15.24
2021-05-31,16.2
2021-06-02,16.46
2021-06-09,21.53
2021-06-16,22.48
2021-06-23,21.51
2021-06-30,19.02
2021-07-07,19.32
2021-07-14,19.53
2021-07-21,21.01
2021-07-28,19.51
2021-08-04,19.6
2021-08-11,20.29
2021-08-18,23.15
2021-09-01,21.55
2021-09-08,19.56
2021-09-15,21.98
2021-09-22,21.02
2021-09-29,23.74
2021-10-06,21.5
2021-10-13,26.66
2021-10-20,23.14
2021-10-27,23.32
2021-11-03,22.74
2021-11-10,21.83
2021-11-17,27.94
2021-11-24,19.4
2021-12-01,20.82
2021-12-08,20.82
2021-12-16,17.26
2021-12-24,18.47
2022-01-04,19.7076
2022-01-11,18.4171
2022-01-20,30.7
2022-01-27,20.72
2022-02-03,21.07
2022-02-10,61.04
2022-02-17,164.38
2022-02-25,21.47
2022-03-03,18.5
2022-03-09,15.13
