date,sulfate
YYYY-MM-DD,uM
2021-03-03,668.34
2021-03-10,644.13
2021-03-19,628.84
2021-03-25,624.23
2021-03-30,681.65
2021-04-07,641.1
2021-04-14,554.03
2021-05-17,316.88
2021-05-28,273.61
2021-06-04,253.48
2021-06-11,271.91
2021-06-18,295.26
2021-06-24,347.63
2021-07-02,335.69
2021-07-09,370.5
2021-07-15,410.6
2021-07-23,352.26
2021-07-30,390.08
2021-07-31,381.47
2021-08-06,380.91
2021-08-13,430.62
2021-08-19,425.27
2021-08-27,458.92
2021-09-03,477.6003
2021-10-01,519.08
2021-10-07,533.87
2021-10-15,557.74
2021-10-22,525.39
2021-10-27,531.89
2021-11-03,539.94
2021-11-11,515.58
