date,fluoride
YYYY-MM-DD,uM
2018-01-23,19.0476
2018-01-30,20.0379
2018-02-06,17.9644
2018-02-13,20.2205
2018-02-20,18.968
2018-02-27,19.2839
2018-03-06,19.164
2018-03-13,19.444
2018-03-20,20.9287
2018-03-27,19.9574
2018-04-03,20.6423
2018-04-10,20.8204
2018-04-17,22.2301
2018-04-24,19.8665
2018-05-01,21.2996
2018-07-16,20.2432
2018-07-23,20.4885
2018-07-30,21.2891
2018-08-06,20.8306
2018-08-13,21.258
2018-08-20,21.4116
2018-08-27,21.7437
2018-09-04,21.5181
2018-09-10,20.7659
2018-09-17,20.1738
2018-09-24,21.6193
2018-10-01,21.0826
2018-10-16,18.5143
2018-10-29,17.4412
2018-11-29,22.196
2018-12-04,19.1339
2018-12-25,21.3032
2019-01-01,40.5021
2019-01-15,44.3487
2019-02-05,62.9958
2019-02-14,19.968
2019-02-19,25.6111
2019-03-12,21.1823
2019-04-23,20.5271
2019-05-07,20.983
