date,fluoride
YYYY-MM-DD,uM
2021-03-03,11.73
2021-03-10,31.77
2021-03-19,4.66
2021-03-25,6.17
2021-03-30,6.2
2021-04-07,7.87
2021-04-14,7.48
2021-05-17,39.66
2021-05-28,9.56
2021-06-04,5.76
2021-06-11,5.83
2021-06-18,6.96
2021-06-24,15.38
2021-07-02,30.03
2021-07-09,59.81
2021-07-15,10.33
2021-07-23,5.14
2021-07-30,7.9
2021-08-06,6.03
2021-08-13,4.61
2021-08-19,7.2
2021-08-27,6.19
2021-09-03,3.7396
2021-10-01,3.86
2021-10-07,2.49
2021-10-15,6.54
2021-10-22,10.37
2021-10-27,5.96
2021-11-03,6.31
2021-11-11,4.96
