date,chloride
YYYY-MM-DD,uM
2019-05-02,6.2293
2019-05-30,5.4657
2019-06-12,5.8768
2019-06-19,6.2343
2019-06-29,6.4604
2019-07-08,11.5445
2019-07-15,5.6635
2019-07-24,5.6859
2019-07-30,6.0451
2019-08-06,5.3997
2019-08-14,5.4105
2019-08-21,9.1446
2019-11-07,5.9718
2019-11-13,7.8575
2019-11-21,9.2288
2020-01-05,6.5005
2020-02-08,5.7187
2020-02-18,11.7781
2020-03-03,5.3939
2020-03-18,19.3495
2020-03-30,66.9586
2020-04-18,7.6291
2020-05-15,9.7235
2020-05-31,6.303
2020-06-08,7.3625
2020-06-22,6.8412
2020-07-10,10.7622
2020-08-30,5.35
2020-09-10,6.45
2020-09-18,4.94
2020-09-28,5.27
2020-10-06,6.95
2020-10-16,5.41
2020-10-23,5.95
2020-10-30,5.44
2020-11-06,6.6
2020-11-14,7.35
