date,sulfate
YYYY-MM-DD,uM
2018-01-23,167.5434
2018-01-30,165.1002
2018-02-06,164.5617
2018-02-13,166.363
2018-02-20,164.7598
2018-02-27,165.8994
2018-03-06,164.998
2018-03-13,165.8186
2018-03-20,166.3059
2018-03-27,165.2621
2018-04-03,167.2836
2018-04-10,166.1276
2018-04-17,167.0844
2018-04-24,165.7507
2018-05-01,166.5952
2018-07-16,166.92
2018-07-23,166.1255
2018-07-30,166.5949
2018-08-06,167.4519
2018-08-13,168.6297
2018-08-20,167.5804
2018-08-27,169.446
2018-09-04,168.0662
2018-09-10,169.1244
2018-09-17,167.0328
2018-09-24,167.475
2018-10-01,167.9978
2018-10-16,169.4076
2018-10-29,167.9708
2018-11-29,162.0935
2018-12-04,169.6029
2018-12-25,169.1595
2019-01-01,171.0672
2019-01-15,171.6991
2019-02-05,170.4642
2019-02-14,172.3783
2019-02-19,173.6399
2019-03-12,174.3572
2019-04-23,173.5329
2019-05-07,176.1508
