date,nitrate
YYYY-MM-DD,uM
2019-04-27,8.66208453
2019-05-10,221.92793808000002
2019-05-19,124.8158637
2019-05-24,118.76418546
2019-06-03,150.71531043
2019-06-18,159.17277879
2019-07-01,108.42176814
2019-07-09,74.98252557
2019-07-16,56.399657039999994
2019-08-15,9.02791344
2019-09-05,0.0
2019-10-02,0.0
2020-02-28,0.0
2020-04-21,0.7874622299999999
2020-05-13,161.37395274
2020-05-28,135.4807065
2020-06-10,71.25603108
2020-06-24,31.399281359999996
2020-07-08,16.56150879
2020-08-03,1.4261127
2020-08-26,0.73165782
