date,nitrate
YYYY-MM-DD,uM
2020-06-02,0.2736
2020-06-16,0.267
2020-06-30,0.2998
2020-07-14,0.2125
2020-07-21,0.2625
2020-07-29,0.1459
2020-08-04,0.0734
2020-08-12,0.4552
2020-08-19,0.1
2020-08-24,0.1388
2020-09-02,0.2
2020-09-10,0.12
2020-09-14,0.3
2020-09-22,0.07
2020-09-29,0.06
2020-10-05,0.1
2020-10-13,0.12
2020-10-20,0.2
2020-10-28,0.05
2020-11-03,0.15
2020-11-10,0.11
2020-11-19,0.1
2020-12-03,0.12
2021-01-06,0.6876
2021-02-19,0.07
2021-03-09,0.08
2021-04-06,0.34
2021-04-28,0.25
2021-05-04,0.35
2021-05-13,0.18
2021-05-18,0.2
2021-05-27,0.2
2021-06-02,0.21
2021-06-08,0.49
2021-06-15,0.25
2021-06-22,0.05
2021-07-01,0.08
2021-07-07,0.02
2021-07-16,0.33
2021-07-27,1.23
2021-08-04,0.3
2021-08-10,0.01
2021-08-17,0.04
2021-08-24,0.17
2021-08-31,0.04
2021-09-08,0.44
2021-09-27,1.05
2021-10-15,0.15
2021-10-20,0.6
2021-10-28,0.12
2021-11-04,0.31
2021-11-08,0.39
2021-12-01,0.93
2022-01-07,0.06
2022-02-03,0.79
2022-03-03,0.34
