date,fluoride
YYYY-MM-DD,uM
2018-04-14,2.3557
2018-05-25,2.4736
2018-06-08,30.3751
2018-06-15,1.6967
2018-06-25,3.0018
2018-07-09,3.3067
2018-07-15,2.6016
2018-08-17,3.4407
2018-08-24,2.2288
2018-08-31,2.6836
2018-09-07,3.0038
2018-09-14,1.8466
2018-09-21,3.2822
2018-09-28,2.7251
