date,fluoride
YYYY-MM-DD,uM
2018-03-07,74.3447
2018-04-02,75.224
2020-07-14,54.9822
2020-07-21,72.2628
2020-07-29,58.8416
2020-08-04,73.7304
2020-08-12,72.115
2020-08-19,62.99
2020-08-24,73.4456
2020-09-02,66.16
2020-09-10,66.8
2020-09-14,71.34
2020-09-23,70.28
2020-09-29,67.42
2020-10-05,95.04
2020-10-13,64.4
2020-10-20,69.22
2020-10-28,67.24
2020-11-03,57.4
2020-11-10,59.2
2020-11-19,62.36
2020-12-03,64.7
2021-01-20,93.26
2021-02-19,66.59
2021-03-09,74.86
2021-04-06,77.21
2021-04-28,31.87
2021-05-04,30.52
2021-05-13,33.06
2021-05-18,33.95
2021-05-27,34.47
2021-06-02,30.76
2021-06-08,44.05
2021-06-15,40.81
2021-06-22,30.5
2021-07-01,35.93
2021-07-07,94.19
2021-07-16,68.22
2021-07-20,61.22
2021-07-27,64.21
2021-08-04,54.71
2021-08-10,63.29
2021-08-17,63.97
2021-08-24,68.5
2021-08-31,65.37
2021-09-08,67.86
2021-09-27,68.76
2021-10-15,57.42
2021-10-20,57.18
2021-10-28,59.45
2021-11-04,60.69
2021-11-08,63.58
2021-12-01,56.21
2022-01-07,61.78
2022-02-03,70.49
2022-03-03,64.57
