date,sulfate
YYYY-MM-DD,uM
2018-03-07,54.7045
2018-04-02,37.3967
2020-07-14,146.3447
2020-07-21,50.8859
2020-07-29,144.9115
2020-08-04,45.4228
2020-08-12,50.1429
2020-08-19,79.81
2020-08-24,83.8607
2020-09-02,60.15
2020-09-10,79.53
2020-09-14,87.07
2020-09-23,92.99
2020-09-29,95.59
2020-10-05,91.25
2020-10-13,82.72
2020-10-20,94.16
2020-10-28,72.24
2020-11-03,74.74
2020-11-10,76.62
2020-11-19,75.3
2020-12-03,75.12
2021-01-20,58.9
2021-02-19,55.45
2021-03-09,78.64
2021-04-06,79.3
2021-04-28,305.56
2021-05-04,297.28
2021-05-13,356.18
2021-05-18,237.4
2021-05-27,393.16
2021-06-02,427.26
2021-06-08,338.71
2021-06-15,452.64
2021-06-22,428.32
2021-07-01,408.97
2021-07-07,84.81
2021-07-16,279.66
2021-07-20,226.06
2021-07-27,166.98
2021-08-04,67.62
2021-08-10,54.09
2021-08-17,63.41
2021-08-24,63.1
2021-08-31,71.87
2021-09-08,86.78
2021-09-27,93.65
2021-10-15,176.95
2021-10-20,154.26
2021-10-28,106.55
2021-11-04,92.31
2021-11-08,77.56
2021-12-01,93.13
2022-01-07,53.81
2022-02-03,42.04
2022-03-03,43.42
