date,fluoride
YYYY-MM-DD,uM
2019-05-02,16.8761
2019-05-30,15.2936
2019-06-12,17.3071
2019-06-19,18.0465
2019-06-29,8.1566
2019-07-08,20.3693
2019-07-15,20.7557
2019-07-24,19.4481
2019-07-30,19.8215
2019-08-06,18.9803
2019-08-14,18.6933
2019-08-21,25.5422
2019-11-07,19.2377
2019-11-13,29.2239
2019-11-21,32.0265
2020-01-05,17.365
2020-02-08,16.9286
2020-02-18,10.1193
2020-03-03,16.1028
2020-03-18,14.205
2020-03-30,14.1538
2020-04-18,24.0653
2020-05-15,25.399
2020-05-31,24.8863
2020-06-08,25.3394
2020-06-22,24.5864
2020-07-10,31.6632
2020-08-30,21.24
2020-09-10,21.63
2020-09-18,20.94
2020-09-28,21.53
2020-10-06,28.65
2020-10-16,21.41
2020-10-23,22.07
2020-10-30,21.95
2020-11-06,23.57
2020-11-14,28.0
