date,chloride
YYYY-MM-DD,uM
2020-06-02,12.1102
2020-06-16,17.221
2020-06-30,11.5823
2020-07-14,10.9588
2020-07-21,16.2481
2020-07-29,13.4743
2020-08-04,12.7435
2020-08-12,13.8332
2020-08-19,11.67
2020-08-24,34.9019
2020-09-02,15.83
2020-09-10,11.37
2020-09-14,70.14
2020-09-22,10.99
2020-09-29,10.9
2020-10-05,13.86
2020-10-13,15.69
2020-10-20,13.05
2020-10-28,8.02
2020-11-03,15.36
2020-11-10,11.71
2020-11-19,19.34
2020-12-03,11.0
2021-01-06,56.1981
2021-02-19,9.84
2021-03-09,13.66
2021-04-06,12.56
2021-04-28,16.41
2021-05-04,12.07
2021-05-13,13.11
2021-05-18,11.98
2021-05-27,14.99
2021-06-02,16.14
2021-06-08,16.16
2021-06-15,17.61
2021-06-22,10.81
2021-07-01,12.3
2021-07-07,28.57
2021-07-16,14.88
2021-07-27,11.62
2021-08-04,13.86
2021-08-10,9.66
2021-08-17,25.71
2021-08-24,11.45
2021-08-31,10.12
2021-09-08,17.27
2021-09-27,15.43
2021-10-15,15.71
2021-10-20,13.28
2021-10-28,10.93
2021-11-04,15.34
2021-11-08,11.49
2021-12-01,12.05
2022-01-07,10.13
2022-02-03,38.36
2022-03-03,21.39
