date,nitrate
YYYY-MM-DD,uM
2019-08-17,0.8798
2019-08-18,0.316
2019-08-19,0.0
2019-08-20,0.6724
2019-08-21,0.6171
2019-08-22,0.6452
2019-08-23,0.7085
2019-08-24,1.1532
2019-08-26,1.2756
2019-09-13,0.4085
2019-09-14,0.2497
2019-09-15,0.8475
2019-09-16,0.5112
2019-09-17,0.3955
2019-09-18,0.4328
2019-09-19,0.4561
2019-09-20,0.4729
2019-09-21,0.3859
2019-09-22,0.3991
2019-09-23,1.1624
2019-09-24,2.0854
2019-09-25,0.5
2019-09-26,0.2916
2019-09-27,0.623
2019-09-28,0.5174
2019-09-29,0.4458
2019-09-30,0.3082
2019-10-01,0.0848
2019-10-02,0.412
2019-10-03,0.2421
2019-10-04,0.3187
2019-10-06,0.4844
2019-10-07,0.8619
2019-10-08,0.3926
2019-10-09,0.3441
2019-10-10,0.305
2019-10-11,0.6377
2019-10-12,0.4929
2019-10-18,0.2603
2019-11-22,2.142
2019-11-25,1.8792
2019-11-29,3.0271
2019-12-06,3.0806
2019-12-09,2.9693
2019-12-13,5.954
2019-12-16,6.0663
2019-12-20,3.2981
2019-12-27,3.2647
2019-12-29,3.3326
2019-12-31,3.7758
2020-01-03,3.9029
2020-01-07,4.6933
2020-01-10,3.7254
2020-01-18,4.3226
2020-01-21,4.7186
2020-01-24,4.6027
2020-01-27,3.7905
2020-01-31,4.7702
2020-02-03,4.9484
2020-02-08,4.9254
2020-02-11,4.1179
2020-02-14,3.9956
2020-02-19,3.9938
2020-02-22,4.7282
2020-02-26,4.7157
2020-02-27,0.0
2020-03-04,4.1873
2020-03-06,3.9061
2020-03-10,4.2985
2020-03-13,4.2926
2020-03-17,3.976
2020-04-01,4.0023
2020-04-08,5.986
2020-04-18,4.0908
2020-04-22,4.664
2020-04-23,6.7336
2020-04-26,6.9626
2020-04-27,7.8414
2020-04-28,9.9199
2020-04-29,9.8471
2020-04-30,9.0108
2020-05-01,7.0064
2020-05-02,5.6745
2020-05-03,4.5908
2020-05-04,3.7107
2020-05-05,3.3278
2020-05-06,2.6671
2020-05-07,2.4505
2020-05-08,2.3801
2020-05-09,1.6626
2020-05-10,1.82
2020-05-11,1.3761
2020-05-12,1.1514
2020-05-13,0.853
2020-05-14,0.7713
2020-05-15,0.575
2020-05-16,0.5841
2020-05-17,0.3212
2020-05-20,1.6679
2020-05-21,2.1245
2020-05-22,0.1844
2020-05-23,0.1773
2020-05-24,0.0848
2020-05-25,0.1035
2020-05-26,0.0573
2020-05-27,0.092
2020-05-28,0.1349
2020-05-29,0.1266
2020-05-30,0.1922
2020-05-31,0.0595
2020-06-01,0.0496
2020-06-02,0.1188
2020-06-03,0.0633
2020-06-04,0.0391
2020-06-05,0.171
2020-06-06,0.1624
2020-06-07,0.1821
2020-06-08,0.0595
2020-06-09,0.086
2020-06-10,0.0605
2020-06-11,0.0706
