date,sulfate
YYYY-MM-DD,uM
2021-03-03,889.22
2021-03-10,852.71
2021-03-19,840.31
2021-03-25,833.05
2021-03-30,898.5
2021-04-07,740.44
2021-04-14,696.89
2021-05-17,422.33
2021-05-28,346.31
2021-06-04,256.43
2021-06-11,266.59
2021-06-18,295.04
2021-06-24,348.11
2021-07-02,370.23
2021-07-09,419.05
2021-07-15,475.43
2021-07-23,339.82
2021-07-30,433.35
2021-08-06,435.57
2021-08-13,495.76
2021-08-19,524.84
2021-08-27,550.09
2021-09-03,575.9458
2021-10-01,616.56
2021-10-07,259.28
2021-10-15,693.41
2021-10-22,673.87
2021-10-27,681.76
2021-11-03,696.33
2021-11-11,666.17
