date,nitrate
YYYY-MM-DD,uM
2020-06-03,1.5881
2020-06-16,0.1639
2020-06-30,4.7723
2020-07-14,0.8391
2020-07-21,1.2145
2020-07-29,0.1401
2020-08-04,0.0745
2020-08-12,0.6026
2020-08-14,0.16
2020-08-24,0.1485
2020-09-02,0.11
2020-09-10,0.27
2020-09-14,0.15
2020-09-23,0.14
2020-09-29,0.17
2020-10-05,0.17
2020-10-13,0.17
2020-10-20,0.09
2020-10-28,0.13
2020-11-03,0.12
2020-11-19,0.07
2020-12-03,0.08
2021-01-20,0.16
2021-02-19,1.18
2021-03-09,0.08
2021-04-28,0.1
2021-05-04,0.13
2021-05-13,0.1
2021-05-18,0.2
2021-06-02,0.28
2021-06-08,0.18
2021-06-15,0.13
2021-06-22,0.12
2021-07-01,0.13
2021-07-07,0.05
2021-07-20,0.08
2021-07-27,1.5
2021-08-04,0.12
2021-08-10,0.04
2021-08-17,0.04
2021-08-24,0.08
2021-08-31,0.12
2021-09-08,0.08
2021-09-27,0.9
2021-10-15,0.24
2021-10-20,0.1
2021-10-28,0.11
2021-11-04,0.74
2021-11-08,0.2
2021-12-01,0.06
2022-01-07,0.13
2022-02-03,2.38
2022-03-03,0.4
