date,phosphate
YYYY-MM-DD,uM
2020-05-21,0.0902
2020-05-27,0.0
2020-06-03,0.1863
2020-06-09,0.0
2020-06-17,0.0795
2020-06-25,0.0
2020-06-30,0.0
2020-07-07,0.0
2020-07-14,0.0
2020-07-21,0.0
2020-07-27,0.0
2020-08-02,0.894
2020-08-10,0.0
2020-08-18,0.1194
2020-08-24,0.1109
2020-08-31,0.0
2020-09-15,0.0
2020-09-22,0.0
2020-09-28,0.0
2020-10-08,0.0
2020-10-14,0.0
2020-10-22,0.0
2020-11-11,0.0
2020-12-08,0.0
2020-12-29,0.0
2021-01-29,0.0
2021-02-09,0.2
2021-03-12,0.0
2021-04-16,0.0
2021-04-29,0.0
2021-05-12,0.0
2021-05-20,0.0
2021-05-26,0.0
2021-06-01,0.0
2021-06-08,0.25
2021-06-14,0.0
2021-06-21,0.0
2021-06-29,0.0
2021-07-08,0.0
2021-07-21,0.0
2021-07-27,0.0
2021-08-05,0.0
2021-08-11,0.0
2021-08-18,0.0
2021-08-26,0.0
2021-08-30,0.0
2021-09-12,0.0
2021-10-13,0.0
2021-11-06,0.0
2021-11-12,0.0
2021-12-16,0.62
2022-01-26,0.0
2022-02-15,0.0
