date,phosphate
YYYY-MM-DD,uM
2019-08-17,4.5643
2019-08-18,0.0
2019-08-19,0.5797
2019-08-20,0.8969
2019-08-21,19.808
2019-08-22,0.0
2019-08-23,0.0
2019-08-24,0.1659
2019-08-26,1.7197
2019-09-13,1.7007
2019-09-14,0.0
2019-09-15,2.4138
2019-09-16,1.0394
2019-09-17,0.0
2019-09-18,0.0
2019-09-19,2.101
2019-09-20,1.7347
2019-09-21,1.6758
2019-09-22,2.3732
2019-09-23,2.1312
2019-09-24,1.5808
2019-09-25,2.7206
2019-09-26,2.1862
2019-09-27,2.0834
2019-09-28,2.5451
2019-09-29,2.3919
2019-09-30,1.9011
2019-10-01,3.0546
2019-10-02,2.8515
2019-10-03,2.9966
2019-10-04,2.1474
2019-10-06,0.3519
2019-10-07,1.3452
2019-10-08,1.2636
2019-10-09,2.7247
2019-10-10,0.2612
2019-10-11,0.9627
2019-10-12,0.2211
2019-10-18,0.0
2019-11-22,0.1156
2019-11-25,0.0113
2019-11-29,0.0071
2019-12-06,0.0186
2019-12-09,0.0321
2019-12-13,0.0439
2019-12-16,0.0
2019-12-20,0.0
2019-12-27,0.0
2019-12-29,0.0
2019-12-31,0.0259
2020-01-03,0.0
2020-01-07,0.0
2020-01-10,0.0105
2020-01-18,0.0
2020-01-21,0.0441
2020-01-24,0.0
2020-01-27,0.0767
2020-01-31,0.0
2020-02-03,0.0
2020-02-08,0.0
2020-02-11,0.0
2020-02-14,0.0
2020-02-19,0.0
2020-02-22,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-03-04,0.0
2020-03-06,0.0
2020-03-10,0.0
2020-03-13,0.0
2020-03-17,0.0
2020-04-01,0.0729
2020-04-08,0.0
2020-04-18,0.0
2020-04-22,0.1128
2020-04-23,0.0
2020-04-26,0.0
2020-04-27,0.0646
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.1053
2020-05-05,0.0
2020-05-06,0.1072
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0582
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-20,0.0
2020-05-21,0.0
