date,phosphate
YYYY-MM-DD,uM
2019-05-02,0.0
2019-05-30,0.0
2019-06-12,0.0
2019-06-19,0.0
2019-06-29,0.0
2019-07-08,0.0
2019-07-15,0.0617
2019-07-24,0.0
2019-07-30,0.0
2019-08-06,0.0
2019-08-14,0.0
2019-08-21,0.0964
2019-11-07,0.052
2019-11-13,0.0
2019-11-21,0.0
2020-01-05,0.0
2020-02-08,0.0
2020-02-18,0.0607
2020-03-03,0.0
2020-03-18,0.0413
2020-03-30,0.0
2020-04-18,0.0
2020-05-15,0.0
2020-05-31,0.0
2020-06-08,0.0
2020-06-22,0.0
2020-07-10,0.0
2020-08-30,0.0
2020-09-10,0.0
2020-09-18,0.0
2020-09-28,0.0
2020-10-06,0.0
2020-10-16,0.0
2020-10-23,0.0
2020-10-30,0.0
2020-11-06,0.0
2020-11-14,0.0
