date,fluoride
YYYY-MM-DD,uM
2018-04-14,1.9353
2018-05-07,2.3977
2018-05-25,2.3994
2018-06-08,1.3202
2018-06-15,2.5148
2018-06-25,1.1138
2018-07-09,2.4176
2018-07-15,2.0784
2018-08-17,2.2016
2018-08-25,4.6651
2018-08-31,2.2539
2018-09-07,1.8817
2018-09-14,3.121
2018-09-21,1.744
2018-09-28,3.0381
