date,sulfate
YYYY-MM-DD,uM
2020-06-02,649.0428
2020-06-16,649.8126
2020-06-30,636.5773
2020-07-14,585.4959
2020-07-21,611.6581
2020-07-29,667.4358
2020-08-04,645.1808
2020-08-12,612.0941
2020-08-19,580.85
2020-08-24,656.0234
2020-09-02,598.72
2020-09-10,576.08
2020-09-14,580.28
2020-09-22,576.41
2020-09-29,580.47
2020-10-05,585.36
2020-10-13,600.76
2020-10-20,595.41
2020-10-28,594.55
2020-11-03,548.43
2020-11-10,557.02
2020-11-19,594.28
2020-12-03,581.66
2021-01-06,569.7488
2021-02-19,606.69
2021-03-09,633.32
2021-04-06,634.39
2021-04-28,695.74
2021-05-04,705.45
2021-05-13,757.95
2021-05-18,799.93
2021-05-27,743.39
2021-06-02,728.51
2021-06-08,739.71
2021-06-15,709.62
2021-06-22,668.36
2021-07-01,688.74
2021-07-07,698.33
2021-07-16,704.51
2021-07-27,630.58
2021-08-04,608.47
2021-08-10,579.73
2021-08-17,576.12
2021-08-24,602.28
2021-08-31,599.22
2021-09-08,588.14
2021-09-27,599.93
2021-10-15,616.64
2021-10-20,595.02
2021-10-28,584.69
2021-11-04,575.91
2021-11-08,578.66
2021-12-01,575.02
2022-01-07,568.09
2022-02-03,504.0
2022-03-03,564.24
