date,nitrate
YYYY-MM-DD,uM
2020-05-21,0.5149
2020-05-27,1.05
2020-06-03,0.3473
2020-06-09,0.4175
2020-06-17,0.4357
2020-06-25,0.4219
2020-06-30,0.0828
2020-07-07,0.4471
2020-07-14,0.1492
2020-07-21,0.4747
2020-07-27,0.1329
2020-08-02,0.2514
2020-08-10,0.3365
2020-08-18,0.3495
2020-08-24,0.279
2020-08-31,0.12
2020-09-15,0.1221
2020-09-22,0.0502
2020-09-28,0.0855
2020-10-08,0.052
2020-10-14,0.0418
2020-10-22,0.0503
2020-11-11,0.12
2020-12-08,0.2
2020-12-29,0.11
2021-01-29,0.35
2021-02-09,0.37
2021-03-12,0.4
2021-04-16,7.28
2021-04-29,4.5
2021-05-12,0.29
2021-05-20,0.32
2021-05-26,0.44
2021-06-01,0.5
2021-06-08,0.65
2021-06-14,0.4
2021-06-21,0.41
2021-06-29,0.18
2021-07-08,0.33
2021-07-21,0.07
2021-07-27,0.71
2021-08-05,0.92
2021-08-11,0.72
2021-08-18,0.42
2021-08-26,0.06
2021-08-30,0.38
2021-09-12,0.04
2021-10-13,0.04
2021-11-06,0.31
2021-11-12,0.08
2021-12-16,1.24
2022-01-26,0.76
2022-02-15,1.36
