date,nitrate
YYYY-MM-DD,uM
2020-10-13,0.52
2020-10-21,0.47
2020-10-28,1.13
2020-11-03,1.03
2020-11-11,1.95
2020-11-17,2.5
2020-11-25,2.54
2020-12-03,3.22
2020-12-09,3.41
2020-12-16,3.28
2020-12-26,3.41
2020-12-31,3.4
2021-01-07,4.03
2021-01-14,2.66
2021-01-21,2.86
2021-01-28,3.09
2021-02-07,3.01
2021-02-11,2.8
2021-02-19,3.2145
2021-02-27,3.8965
2021-03-05,3.25
2021-03-12,3.07
2021-03-19,3.06
2021-03-26,2.91
2021-04-03,6.32
2021-04-09,12.19
2021-04-16,15.11
2021-04-30,16.44
2021-05-19,3.71
2021-05-31,1.27
2021-06-02,0.07
2021-06-09,0.68
2021-06-16,0.31
2021-06-23,2.04
2021-06-30,0.01
2021-07-07,0.13
2021-07-14,0.32
2021-07-21,0.24
2021-07-28,0.12
2021-08-04,0.31
2021-08-11,0.58
2021-08-18,0.25
2021-09-01,0.63
2021-09-08,0.85
2021-09-15,0.34
2021-09-22,0.47
2021-09-29,0.3
2021-10-06,0.41
2021-10-13,0.47
2021-10-20,1.07
2021-10-27,1.12
2021-11-03,2.19
2021-11-10,1.72
2021-11-17,6.49
2021-11-24,2.43
2021-12-01,2.56
2021-12-08,3.34
2021-12-16,1.53
2021-12-24,2.45
2022-01-04,1.8435
2022-01-11,2.9855
2022-01-20,3.39
2022-01-27,3.3
2022-02-03,3.82
2022-02-10,3.85
2022-02-17,3.32
2022-02-25,3.5
2022-03-03,3.51
2022-03-09,3.36
