date,chloride
YYYY-MM-DD,uM
2019-04-27,19.181995000000004
2019-05-11,20.529094999999998
2019-05-19,18.168125
2019-05-24,23.599065
2019-06-03,18.675060000000002
2019-06-18,22.698635
2019-07-01,19.401785
2019-07-09,19.430145000000003
2019-07-16,19.185540000000003
2019-08-13,19.196175
2019-09-05,19.32025
2019-10-02,15.512920000000001
2020-04-21,19.13591
2020-05-13,19.139455
2020-05-28,17.345685000000003
2020-06-10,18.660880000000002
2020-06-24,27.945235000000004
2020-07-08,17.763995
2020-08-03,18.529715000000003
2020-08-26,17.430765
