date,sulfate
YYYY-MM-DD,uM
2018-03-03,233.664
2018-03-17,236.4085
2018-04-15,144.6677
2018-05-07,95.0448
2018-06-08,148.2959
2018-06-15,161.3475
2018-06-25,180.7307
2018-07-11,207.5295
2018-07-15,208.5539
2018-08-17,221.6667
2018-08-24,235.5912
2018-08-31,242.8132
2018-09-07,238.3304
2018-09-14,244.391
2018-09-28,243.4943
