date,sulfate
YYYY-MM-DD,uM
2014-07-30,86.4
2014-08-05,81.8
2014-08-21,83.8
2014-08-30,85.0
2014-09-07,86.4
2014-09-14,88.4
2014-09-23,89.2
2014-10-01,95.69999999999999
2014-10-07,100.7
2014-10-14,105.0
2014-10-23,101.6
2014-10-31,104.2
2014-11-08,105.30000000000001
2015-03-16,110.39999999999999
2015-04-09,105.30000000000001
2015-05-02,100.6
2015-05-11,101.4
2015-05-24,359.20000000000005
2015-06-02,92.60000000000001
2015-06-11,81.3
2015-06-18,79.0
2015-06-25,87.4
2015-07-02,81.10000000000001
2015-07-09,86.5
2015-07-17,93.60000000000001
2015-07-25,95.4
2015-08-02,105.1
2015-08-09,101.5
2015-08-13,83.7
2015-08-16,102.9
2015-08-23,102.7
2015-08-30,101.1
2015-09-07,102.8
2015-09-13,104.89999999999999
2015-09-22,106.39999999999999
2015-09-28,107.39999999999999
2015-10-04,92.3
2015-10-13,114.9
2015-10-26,119.7
2015-11-02,111.10000000000001
2015-11-09,115.2
2015-11-15,118.5
2015-11-23,121.5
2016-03-09,115.85
2016-04-08,110.2
2016-04-21,120.2
2016-05-02,111.7513
2016-05-12,96.2338
2016-05-20,108.3805
2016-05-27,89.9978
2016-06-04,84.731
2016-06-11,80.186
2016-06-17,91.7394
2016-06-27,89.2591
2016-07-08,82.8239
2016-07-15,95.7058
2016-07-22,94.5887
2016-07-29,97.25
2016-08-05,85.09
2016-08-12,101.4191
2016-08-19,98.3131
2016-08-26,97.3345
2016-09-02,98.0656
2016-09-09,91.9647
2016-09-16,92.9554
2016-09-23,98.7725
2016-09-30,99.8951
2016-10-12,98.2661
2016-10-19,97.4981
