date,sulfate
YYYY-MM-DD,uM
2019-04-27,4393.726764
2019-05-11,4429.288176
2019-05-19,3965.827494
2019-05-24,7317.697104
2019-06-03,6606.62256
2019-06-18,5644.639296
2019-07-01,4167.687978
2019-07-09,3828.7114500000002
2019-07-16,3586.1023139999998
2019-08-13,3648.4548600000003
2019-09-05,3282.965772
2019-10-02,3189.220818
2020-04-21,3320.07375
2020-05-13,3573.7778160000003
2020-05-28,3123.083508
2020-06-10,3854.6572560000004
2020-06-24,3527.9668020000004
2020-07-08,2849.2932960000003
2020-08-03,2585.3684460000004
2020-08-26,2756.480124
