date,sulfate
YYYY-MM-DD,uM
2019-08-17,172.0404
2019-08-18,179.2216
2019-08-19,176.5042
2019-08-20,182.6121
2019-08-21,172.9781
2019-08-22,184.3055
2019-08-23,185.9323
2019-08-24,184.3182
2019-08-26,186.9868
2019-09-13,174.8008
2019-09-14,173.1994
2019-09-15,179.8342
2019-09-16,177.0196
2019-09-17,170.2074
2019-09-18,179.8237
2019-09-19,177.7749
2019-09-20,184.4928
2019-09-21,178.0423
2019-09-22,179.9818
2019-09-23,187.0713
2019-09-24,189.5053
2019-09-25,184.5734
2019-09-26,186.2919
2019-09-27,184.9954
2019-09-28,189.2095
2019-09-29,191.8518
2019-09-30,191.7208
2019-10-01,177.9881
2019-10-02,186.3602
2019-10-03,185.9339
2019-10-04,197.2755
2019-10-06,203.3135
2019-10-07,206.3375
2019-10-08,210.0458
2019-10-09,206.4304
2019-10-10,211.8905
2019-10-11,218.6271
2019-10-12,205.4459
2019-10-18,221.6104
2019-11-22,230.0741
2019-11-25,231.9373
2019-11-29,227.5265
2019-12-06,231.0505
2019-12-09,227.9432
2019-12-13,233.0108
2019-12-16,227.331
2019-12-20,231.8441
2019-12-27,235.6813
2019-12-29,231.209
2019-12-31,238.9648
2020-01-03,229.0746
2020-01-07,226.1123
2020-01-10,233.9382
2020-01-18,233.228
2020-01-21,231.746
2020-01-24,235.9996
2020-01-27,229.3558
2020-01-31,221.3116
2020-02-03,223.2023
2020-02-08,232.8901
2020-02-11,225.9978
2020-02-14,227.5372
2020-02-19,231.6109
2020-02-22,227.8121
2020-02-26,228.8353
2020-02-27,232.9123
2020-03-04,237.0558
2020-03-06,236.9712
2020-03-10,241.7036
2020-03-13,243.7361
2020-03-17,236.0138
2020-04-01,235.5846
2020-04-08,239.9537
2020-04-18,305.4865
2020-04-22,271.5868
2020-04-23,266.0097
2020-04-26,239.4529
2020-04-27,233.9859
2020-04-28,204.5684
2020-04-29,187.8512
2020-04-30,180.7725
2020-05-01,164.6372
2020-05-02,147.9838
2020-05-03,142.5086
2020-05-04,156.8283
2020-05-05,154.2819
2020-05-06,152.7116
2020-05-07,150.4471
2020-05-08,141.7712
2020-05-09,138.3553
2020-05-10,130.7086
2020-05-11,134.206
2020-05-12,134.6028
2020-05-13,111.8003
2020-05-14,101.181
2020-05-15,98.3093
2020-05-16,96.4746
2020-05-17,92.0618
2020-05-20,67.4916
2020-05-21,72.1077
2020-05-22,75.9188
2020-05-23,69.574
2020-05-24,75.8059
2020-05-25,75.9594
2020-05-26,74.9881
2020-05-27,70.1586
2020-05-28,64.9296
2020-05-29,58.4248
2020-05-30,54.0991
2020-05-31,53.7698
