date,fluoride
YYYY-MM-DD,uM
2020-06-03,214.5827
2020-06-16,206.6301
2020-06-30,204.1264
2020-07-14,188.8996
2020-07-21,251.5895
2020-07-29,224.345
2020-08-04,224.823
2020-08-12,216.7734
2020-08-14,197.54
2020-08-24,218.7066
2020-09-02,208.51
2020-09-10,209.33
2020-09-14,219.98
2020-09-23,207.09
2020-09-29,220.91
2020-10-05,221.06
2020-10-13,208.75
2020-10-20,210.95
2020-10-28,226.79
2020-11-03,187.17
2020-11-19,204.63
2020-12-03,205.14
2021-01-20,183.49
2021-02-19,213.63
2021-03-09,226.79
2021-04-28,228.47
2021-05-04,209.44
2021-05-13,223.59
2021-05-18,225.52
2021-06-02,227.95
2021-06-08,223.81
2021-06-15,188.91
2021-06-22,204.14
2021-07-01,232.29
2021-07-07,224.45
2021-07-20,224.64
2021-07-27,198.33
2021-08-04,204.71
2021-08-10,190.34
2021-08-17,192.29
2021-08-24,201.97
2021-08-31,204.35
2021-09-08,200.11
2021-09-27,200.99
2021-10-15,216.31
2021-10-20,199.43
2021-10-28,198.1
2021-11-04,196.17
2021-11-08,206.54
2021-12-01,181.15
2022-01-07,198.87
2022-02-03,152.99
2022-03-03,134.05
