date,sulfate
YYYY-MM-DD,uM
2020-05-21,19.4108
2020-05-27,19.9588
2020-06-03,19.963
2020-06-09,20.4132
2020-06-17,19.4431
2020-06-25,18.9881
2020-06-30,19.8848
2020-07-07,18.62
2020-07-14,16.8955
2020-07-21,20.537
2020-07-27,20.4211
2020-08-02,22.1858
2020-08-10,27.0656
2020-08-18,20.0517
2020-08-24,23.0397
2020-08-31,23.64
2020-09-15,23.6925
2020-09-22,18.7602
2020-09-28,19.8354
2020-10-08,18.1282
2020-10-14,21.8591
2020-10-22,20.7359
2020-11-11,30.3
2020-12-08,32.22
2020-12-29,24.66
2021-01-29,32.93
2021-02-09,35.53
2021-03-12,40.48
2021-04-16,48.6
2021-04-29,43.0
2021-05-12,42.78
2021-05-20,52.28
2021-05-26,35.63
2021-06-01,31.53
2021-06-08,29.66
2021-06-14,26.41
2021-06-21,20.41
2021-06-29,24.02
2021-07-08,18.55
2021-07-21,17.87
2021-07-27,20.93
2021-08-05,30.7
2021-08-11,26.6
2021-08-18,20.46
2021-08-26,24.87
2021-08-30,21.19
2021-09-12,24.41
2021-10-13,40.26
2021-11-06,38.12
2021-11-12,38.84
2021-12-16,244.54
2022-01-26,41.69
2022-02-15,46.3
