date,sulfate
YYYY-MM-DD,uM
2019-05-02,469.9726
2019-05-30,467.904
2019-06-12,472.3253
2019-06-19,473.4735
2019-06-29,476.39
2019-07-08,479.049
2019-07-15,473.6842
2019-07-24,472.7267
2019-07-30,444.7409
2019-08-06,475.0122
2019-08-14,475.4472
2019-08-21,475.7066
2019-11-07,472.427
2019-11-13,461.7341
2019-11-21,477.4842
2020-01-05,452.9221
2020-02-08,434.4996
2020-02-18,432.0803
2020-03-03,432.2737
2020-03-18,436.2088
2020-03-30,433.8277
2020-04-18,499.5067
2020-05-15,494.2975
2020-05-31,492.7093
2020-06-08,495.7698
2020-06-22,492.2048
2020-07-10,491.8633
2020-08-30,440.86
2020-09-10,447.53
2020-09-18,445.53
2020-09-28,447.55
2020-10-06,445.99
2020-10-16,447.23
2020-10-23,445.65
2020-10-30,449.27
2020-11-06,447.01
2020-11-14,447.91
