date,fluoride
YYYY-MM-DD,uM
2019-08-17,6.572
2019-08-18,7.2624
2019-08-19,9.3859
2019-08-20,5.0278
2019-08-21,7.8611
2019-08-22,8.4621
2019-08-23,8.8358
2019-08-24,9.0667
2019-08-26,8.0135
2019-09-13,6.4
2019-09-14,6.8549
2019-09-15,7.4281
2019-09-16,9.3439
2019-09-17,7.4564
2019-09-18,8.9816
2019-09-19,7.7788
2019-09-20,6.6496
2019-09-21,7.9067
2019-09-22,8.0877
2019-09-23,9.8883
2019-09-24,7.0785
2019-09-25,7.2676
2019-09-26,9.6043
2019-09-27,8.376
2019-09-28,8.2169
2019-09-29,10.5525
2019-09-30,10.0019
2019-10-01,9.0526
2019-10-02,8.9511
2019-10-03,9.8232
2019-10-04,12.2289
2019-10-06,7.8224
2019-10-07,13.2754
2019-10-08,8.6405
2019-10-09,8.7447
2019-10-10,14.9848
2019-10-11,13.9941
2019-10-12,15.154
2019-10-18,14.8034
2019-11-22,9.0696
2019-11-25,8.5278
2019-11-29,8.1921
2019-12-06,9.2558
2019-12-09,9.9957
2019-12-13,10.1466
2019-12-16,9.702
2019-12-20,8.8052
2019-12-27,9.5203
2019-12-29,9.4288
2019-12-31,9.6889
2020-01-03,9.2209
2020-01-07,9.7946
2020-01-10,9.2253
2020-01-18,8.9775
2020-01-21,9.323
2020-01-24,11.0136
2020-01-27,10.4603
2020-01-31,9.1706
2020-02-03,10.5634
2020-02-08,6.9504
2020-02-11,6.7033
2020-02-14,7.9868
2020-02-19,8.8941
2020-02-22,6.5764
2020-02-26,6.952
2020-02-27,8.0374
2020-03-04,6.8084
2020-03-06,6.8977
2020-03-10,6.3644
2020-03-13,8.4717
2020-03-17,7.7555
2020-04-01,12.8647
2020-04-08,14.5121
2020-04-18,33.9368
2020-04-22,22.6281
2020-04-23,22.4556
2020-04-26,23.2043
2020-04-27,17.3731
2020-04-28,25.9325
2020-04-29,24.083
2020-04-30,22.7104
2020-05-01,18.0885
2020-05-02,19.2123
2020-05-03,15.9985
2020-05-04,20.131
2020-05-05,23.5901
2020-05-06,23.3731
2020-05-07,23.0811
2020-05-08,20.9016
2020-05-09,21.1583
2020-05-10,28.1585
2020-05-11,20.3385
2020-05-12,35.401
2020-05-13,17.134
2020-05-14,14.5538
2020-05-15,13.8451
2020-05-16,12.3385
2020-05-17,10.1312
2020-05-20,6.4464
2020-05-21,7.4506
2020-05-22,4.0522
2020-05-23,10.0741
2020-05-24,3.1859
2020-05-25,9.6535
2020-05-26,10.3248
2020-05-27,1.8187
2020-05-28,2.3152
2020-05-29,1.5952
2020-05-30,5.2658
2020-05-31,2.1271
2020-06-01,2.0552
2020-06-02,1.3441
2020-06-03,1.3634
2020-06-04,1.3799
2020-06-05,3.9583
2020-06-06,3.4669
2020-06-07,3.2395
2020-06-08,2.4138
2020-06-09,2.212
2020-06-10,2.2135
2020-06-11,7.0494
2020-06-12,4.0816
2020-06-13,2.7042
2020-06-14,7.7442
2020-06-18,9.7536
2020-06-20,7.0727
2020-06-22,4.5964
2020-06-24,23.3379
2020-06-26,24.9021
2020-06-28,10.4503
2020-06-30,8.7607
2020-07-02,9.1305
2020-07-04,12.3453
2020-07-06,5.6754
2020-07-08,6.2565
2020-07-10,7.2349
2020-07-12,10.3726
2020-07-14,9.5879
2020-07-16,9.4063
2020-07-18,9.2472
2020-07-20,6.7014
2020-07-22,12.883
2020-07-24,9.2417
2020-07-26,7.8468
2020-07-28,9.6422
2020-07-30,8.3247
2020-08-01,11.08
2020-08-03,9.99
2020-08-05,9.16
2020-08-07,8.37
2020-08-09,8.8
2020-08-11,9.19
2020-08-13,11.63
2020-08-15,9.31
2020-08-17,3.84
2020-08-19,4.41
2020-08-21,11.62
2020-08-23,4.34
2020-08-25,4.39
2020-08-27,7.3986
2020-08-29,7.5135
2020-08-31,6.7903
2020-09-02,8.1185
2020-09-04,9.0793
2020-09-06,5.0648
2020-09-08,4.4947
2020-09-10,5.381
2020-09-12,5.3662
2020-09-14,0.7481
2020-09-16,5.7875
2020-09-18,7.8222
2020-09-20,1.3927
2020-09-22,8.16
2020-09-24,0.43
2020-09-26,7.42
2020-09-28,6.92
2020-09-30,6.67
2020-10-01,8.06
2020-10-03,8.27
2020-10-05,6.85
2020-10-07,7.15
2020-10-09,6.7
2020-10-11,8.44
2020-10-13,7.95
2020-10-15,8.36
2020-10-17,8.92
2020-10-19,11.09
2020-10-21,8.97
2020-10-23,8.99
2020-10-29,5.45
2020-10-31,5.86
2020-11-02,3.85
2020-11-03,7.82
2020-11-07,8.29
2020-11-11,8.92
2020-11-17,15.06
2020-11-25,19.09
2020-12-03,13.08
2020-12-09,10.13
2020-12-16,10.06
2020-12-26,12.58
2020-12-31,13.77
2021-01-07,7.76
2021-01-14,7.25
2021-01-21,7.42
2021-01-28,6.17
2021-02-07,9.87
2021-02-11,8.87
2021-02-19,7.2567
2021-02-27,6.8128
2021-03-05,10.76
2021-03-12,13.98
2021-03-19,6.34
2021-03-21,10.21
2021-03-22,9.07
2021-03-26,10.57
2021-03-29,15.02
2021-04-03,9.07
2021-04-05,13.8
2021-04-07,12.86
2021-04-09,14.95
2021-04-12,17.71
2021-04-14,16.73
2021-04-16,17.69
2021-04-19,17.51
2021-04-28,16.67
2021-04-30,16.54
2021-05-02,14.1
2021-05-04,18.89
2021-05-06,8.14
2021-05-08,19.82
2021-05-10,15.26
2021-05-12,18.68
2021-05-14,22.93
2021-05-16,16.26
2021-05-18,12.82
2021-05-20,13.64
2021-05-22,14.36
2021-05-24,8.89
2021-05-26,8.73
2021-05-28,7.85
2021-05-30,23.06
2021-05-31,14.7
2021-06-01,10.12
2021-06-03,7.64
2021-06-05,8.0
2021-06-07,9.41
2021-06-09,7.37
2021-06-11,7.92
2021-06-13,10.53
2021-06-15,16.31
2021-06-17,24.95
2021-06-19,6.79
2021-06-21,11.2
2021-06-23,11.85
2021-06-25,13.87
2021-06-27,12.72
2021-06-29,19.81
2021-07-01,20.97
2021-07-03,18.66
2021-07-05,14.98
2021-07-07,15.02
2021-07-09,22.3
2021-07-11,19.77
2021-07-13,18.04
2021-07-15,10.58
2021-07-17,15.9
2021-07-19,9.15
2021-07-21,8.33
2021-07-23,8.18
2021-07-27,13.65
2021-07-29,12.02
2021-07-31,18.01
2021-08-02,19.21
2021-08-04,14.78
2021-08-06,15.47
2021-08-08,13.14
2021-08-10,13.59
2021-08-12,13.46
2021-08-14,12.22
2021-08-16,10.43
2021-08-18,11.59
2021-08-20,8.81
2021-08-22,8.92
2021-08-24,13.78
2021-08-26,8.39
2021-08-28,14.13
2021-08-30,10.06
2021-09-01,11.33
2021-09-03,14.18
2021-09-05,10.7
2021-09-07,10.96
2021-09-09,12.01
2021-09-11,11.47
2021-09-13,8.67
2021-09-15,12.23
2021-09-17,10.95
2021-09-19,9.36
2021-09-21,11.39
2021-09-23,12.51
2021-09-25,18.31
2021-09-27,16.96
2021-09-29,15.03
2021-10-01,15.68
2021-10-03,20.34
2021-10-05,19.48
2021-10-07,18.05
2021-10-09,19.57
2021-10-11,14.21
2021-10-13,16.06
2021-10-20,12.72
2021-10-22,10.14
2021-10-27,12.79
2021-11-03,9.48
2021-11-10,9.93
2021-11-17,9.79
2021-11-24,7.82
2021-12-01,7.47
2021-12-08,7.66
2021-12-16,8.92
2021-12-24,7.59
2022-01-04,9.124
2022-01-11,11.272
2022-01-20,14.48
2022-01-27,18.65
2022-02-03,19.74
2022-02-10,13.37
2022-02-17,6.97
2022-02-25,9.12
2022-03-03,7.98
2022-03-09,7.63
