date,sulfate
YYYY-MM-DD,uM
2021-06-04,420.99
2021-06-11,535.08
2021-06-18,533.85
2021-06-24,485.96
2021-07-02,454.63
2021-07-09,421.47
2021-07-15,434.56
2021-07-23,307.27
2021-07-30,372.76
2021-08-06,248.23
2021-08-13,260.56
2021-08-19,421.99
2021-08-27,392.48
2021-09-03,389.9828
2021-10-01,379.04
2021-10-15,428.44
2021-10-22,413.83
