date,nitrate
YYYY-MM-DD,uM
2018-03-07,0.551
2018-04-02,0.3648
2020-07-14,3.6464
2020-07-21,0.3524
2020-07-29,0.9609
2020-08-04,0.137
2020-08-12,0.16
2020-08-19,0.29
2020-08-24,0.1526
2020-09-02,0.06
2020-09-10,0.21
2020-09-14,0.09
2020-09-23,0.07
2020-09-29,0.11
2020-10-05,0.14
2020-10-13,0.09
2020-10-20,0.1
2020-10-28,0.07
2020-11-03,0.17
2020-11-10,0.0
2020-11-19,0.04
2020-12-03,0.18
2021-01-20,0.34
2021-02-19,0.06
2021-03-09,0.11
2021-04-06,0.1
2021-04-28,0.22
2021-05-04,0.15
2021-05-13,0.25
2021-05-18,0.08
2021-05-27,0.28
2021-06-02,0.05
2021-06-08,0.21
2021-06-15,0.14
2021-06-22,0.04
2021-07-01,0.06
2021-07-07,0.23
2021-07-16,0.15
2021-07-20,0.1
2021-07-27,0.75
2021-08-04,0.19
2021-08-10,0.13
2021-08-17,0.03
2021-08-24,0.1
2021-08-31,0.13
2021-09-08,0.22
2021-09-27,0.46
2021-10-15,0.13
2021-10-20,0.25
2021-10-28,0.26
2021-11-04,0.24
2021-11-08,0.18
2021-12-01,0.53
2022-01-07,0.21
2022-02-03,0.92
2022-03-03,0.04
