date,fluoride
YYYY-MM-DD,uM
2018-02-09,9.7895
2018-02-12,8.112
2018-02-15,6.9194
2018-02-18,7.8993
2018-02-21,4.3029
2018-02-24,8.2272
2018-02-27,5.9563
2018-03-02,4.1415
2018-03-05,4.098
2018-03-08,5.2793
2018-03-11,5.842
2018-03-14,4.147
2018-03-17,4.0498
2018-03-20,7.7986
2018-03-23,4.1272
2018-03-26,4.1829
2018-03-29,4.2693
2018-04-01,7.8982
2018-04-04,4.0558
2018-04-07,9.1912
2018-04-10,5.0747
2018-04-13,5.8797
2018-04-16,6.6456
2018-04-18,7.0472
2018-04-20,4.9744
2018-04-22,6.2573
2018-04-24,6.969
2018-04-26,7.0841
2018-04-28,6.0848
2018-04-30,5.472
2018-05-02,6.789
2018-05-04,6.4882
2018-05-06,5.8605
2018-05-08,5.7068
2018-05-10,3.8162
2018-05-12,5.2515
2018-05-14,5.3614
2018-05-16,6.3198
2018-05-18,3.611
2018-05-20,4.3601
2018-05-22,5.7464
2018-05-24,3.289
2018-05-26,5.8142
2018-05-28,4.2346
2018-05-30,6.1678
2018-06-01,4.2205
2018-06-03,4.3623
2018-06-05,4.0861
2018-06-07,5.3858
2018-06-09,6.6357
2018-06-11,5.3186
2018-06-13,4.9226
2018-06-15,6.4167
2018-06-17,4.8956
2018-06-19,7.178
2018-06-21,7.733
2018-06-23,5.7093
2018-06-25,3.4877
2018-06-27,4.7906
2018-06-29,4.3224
2018-07-01,5.069
2018-07-03,4.9688
2018-07-05,6.4624
2018-07-07,3.858
2018-07-09,7.6318
2018-07-11,5.3459
2018-07-13,5.2801
2018-07-15,5.4577
2018-07-17,5.1813
2018-07-19,5.1518
2018-07-21,4.6007
2018-07-23,7.1214
2018-07-25,6.0513
2018-07-27,6.0844
2018-07-29,5.1381
2018-07-31,6.5937
2018-08-02,5.6647
2018-08-04,6.3292
2018-08-06,7.9459
2018-08-08,5.2679
2018-08-10,5.3746
2018-08-12,5.0498
2018-08-14,6.5884
2018-08-16,5.8875
2018-08-18,5.0149
2018-08-20,6.2182
2018-08-22,4.0545
2018-08-24,5.9591
2018-08-25,4.1219
2018-08-26,7.3151
2018-08-28,5.4247
2018-08-30,4.3485
2018-09-01,4.5422
2018-09-03,6.1698
2018-09-05,4.6964
2018-09-07,5.327
2018-09-09,7.1896
