date,nitrate
YYYY-MM-DD,uM
2019-05-02,9.563
2019-05-30,8.0517
2019-06-12,8.7332
2019-06-19,8.7865
2019-06-29,9.4776
2019-07-08,42.1078
2019-07-15,8.3755
2019-07-24,8.5032
2019-07-30,7.7609
2019-08-06,7.867
2019-08-14,8.1758
2019-08-21,8.7043
2019-11-07,11.2183
2019-11-13,10.9043
2019-11-21,11.5974
2020-01-05,11.5166
2020-02-08,6.3443
2020-02-18,7.1005
2020-03-03,13.0773
2020-03-18,5.7896
2020-03-30,6.2969
2020-04-18,5.7683
2020-05-15,9.707
2020-05-31,10.1784
2020-06-08,11.0646
2020-06-22,10.8323
2020-07-10,9.8946
2020-08-30,7.58
2020-09-10,7.68
2020-09-18,7.68
2020-09-28,8.14
2020-10-06,7.92
2020-10-16,7.93
2020-10-23,7.69
2020-10-30,7.73
2020-11-06,7.89
2020-11-14,7.36
