date,sulfate
YYYY-MM-DD,uM
2018-04-14,401.7011
2018-05-07,218.9157
2018-05-25,359.0392
2018-06-08,159.8921
2018-06-15,182.46
2018-06-25,206.3407
2018-07-09,286.2886
2018-07-15,323.333
2018-08-17,371.5018
2018-08-25,384.6309
2018-08-31,388.6729
2018-09-07,395.9996
2018-09-14,409.9537
2018-09-21,413.2838
2018-09-28,421.3609
