date,sulfate
YYYY-MM-DD,uM
2021-03-10,82.65
2021-04-14,70.13
2021-05-19,64.77
2021-05-28,63.27
2021-06-04,65.04
2021-06-11,61.77
2021-06-24,69.23
2021-07-09,68.05
2021-07-15,71.72
2021-07-23,69.92
2021-07-30,61.21
2021-08-06,73.48
2021-08-13,68.95
2021-08-27,65.35
2021-09-03,68.3748
2021-10-01,71.8
2021-10-22,71.81
2021-11-03,69.57
2021-11-11,60.56
