date,nitrate
YYYY-MM-DD,uM
2014-07-30,5.5
2014-08-05,3.8
2014-08-21,3.1
2014-08-30,3.2
2014-09-07,3.9
2014-09-14,6.7
2014-09-23,3.8
2014-10-01,3.1
2014-10-07,3.8
2014-10-14,4.7
2014-10-23,5.3
2014-10-31,6.8
2014-11-08,7.3
2015-03-16,8.3
2015-04-09,8.3
2015-05-02,9.5
2015-05-11,8.9
2015-05-24,6.5
2015-06-02,6.2
2015-06-11,6.8999999999999995
2015-06-18,6.1000000000000005
2015-06-25,5.2
2015-07-02,5.3
2015-07-09,3.9
2015-07-17,3.9
2015-07-25,5.6
2015-08-02,5.8
2015-08-09,4.3
2015-08-13,2.8
2015-08-16,3.5
2015-08-23,3.6
2015-08-30,3.6
2015-09-07,4.1000000000000005
2015-09-13,4.3
2015-09-22,4.5
2015-09-28,4.7
2015-10-04,4.5
2015-10-13,6.8
2015-10-26,7.6
2015-11-02,6.7
2015-11-09,8.0
2015-11-15,9.2
2015-11-23,10.0
2016-03-09,16.15
2016-04-08,22.3
2016-04-21,13.700000000000001
2016-05-02,8.6428
2016-05-12,12.3191
2016-05-20,59.3097
2016-05-27,7.9941
2016-06-04,3.9277
2016-06-11,4.6486
2016-06-17,3.9328
2016-06-27,52.0389
2016-07-08,1.0758
2016-07-15,1.7959
2016-07-22,6.0849
2016-07-29,5.53
2016-08-05,4.12
2016-08-12,3.9287
2016-08-19,3.712
2016-08-26,4.2006
2016-09-02,3.7284
2016-09-09,3.9233
2016-09-16,3.3884
2016-09-23,3.0331
2016-09-30,3.4507
2016-10-12,5.5048
2016-10-19,4.2914
