date,fluoride
YYYY-MM-DD,uM
2020-05-21,6.7291
2020-05-27,4.5565
2020-06-03,9.1113
2020-06-09,9.6565
2020-06-17,5.0297
2020-06-25,10.3652
2020-06-30,2.3432
2020-07-07,16.5912
2020-07-14,1.6207
2020-07-21,2.9851
2020-07-27,4.3451
2020-08-02,6.9324
2020-08-10,5.7165
2020-08-18,3.4089
2020-08-24,4.4827
2020-08-31,3.08
2020-09-15,0.8084
2020-09-22,0.4988
2020-09-28,2.2927
2020-10-08,1.8668
2020-10-14,2.117
2020-10-22,2.4226
2020-11-11,1.09
2020-12-08,5.76
2020-12-29,2.21
2021-01-29,6.02
2021-02-09,3.44
2021-03-12,3.01
2021-04-16,8.32
2021-04-29,7.53
2021-05-12,3.43
2021-05-20,24.34
2021-05-26,9.11
2021-06-01,36.48
2021-06-08,18.2
2021-06-14,4.61
2021-06-21,5.45
2021-06-29,5.16
2021-07-08,16.7
2021-07-21,4.18
2021-07-27,3.48
2021-08-05,6.69
2021-08-11,2.19
2021-08-18,7.48
2021-08-26,3.3
2021-08-30,4.6
2021-09-12,7.27
2021-10-13,4.43
2021-11-06,5.86
2021-11-12,3.23
2021-12-16,16.2
2022-01-26,5.4
2022-02-15,7.64
