date,chloride
YYYY-MM-DD,uM
2/9/18,12.3644
2/12/18,11.8881
2/15/18,11.7356
2/18/18,11.6464
2/21/18,16.3844
2/24/18,11.8139
2/27/18,11.4924
3/2/18,11.9464
3/5/18,13.0328
3/8/18,13.9704
3/11/18,11.213
3/14/18,12.2701
3/17/18,18.5746
3/20/18,14.9842
3/23/18,14.2364
3/26/18,15.4718
3/29/18,20.7463
4/1/18,20.532
4/4/18,22.5878
4/7/18,42.3975
4/10/18,60.8312
4/13/18,61.78
4/16/18,51.7063
4/18/18,78.5385
4/20/18,52.6434
4/22/18,69.2463
4/24/18,29.1785
4/26/18,29.2953
4/28/18,28.6599
4/30/18,31.6426
5/2/18,31.655
5/4/18,33.9555
5/6/18,29.4444
5/8/18,24.5329
5/10/18,17.7096
5/12/18,15.9975
5/14/18,14.6376
5/16/18,12.2412
5/18/18,10.8735
5/20/18,10.8424
5/22/18,10.5024
5/24/18,9.113
5/26/18,8.0687
5/28/18,10.0026
5/30/18,8.8609
6/1/18,9.6337
6/3/18,8.7749
6/5/18,8.1647
6/7/18,7.3258
6/9/18,8.3105
6/11/18,7.7352
6/13/18,11.354
6/15/18,6.3647
6/17/18,13.5458
6/19/18,7.5385
6/21/18,6.9721
6/23/18,8.3856
6/25/18,6.4815
6/27/18,9.358
6/29/18,5.5347
7/1/18,7.8816
7/3/18,5.5277
7/5/18,7.9576
7/7/18,7.9419
7/9/18,7.279
7/11/18,8.3251
7/13/18,6.5623
7/15/18,6.4719
7/17/18,8.1018
7/19/18,7.0879
7/21/18,7.1459
7/23/18,10.4501
7/25/18,7.0114
7/27/18,6.9436
7/29/18,8.0895
7/31/18,6.8733
8/2/18,7.0492
8/4/18,7.6597
8/6/18,7.8693
8/8/18,8.1372
8/10/18,7.4525
8/12/18,7.5303
8/14/18,7.8735
8/16/18,9.434
8/18/18,10.1651
8/20/18,9.0726
8/22/18,25.5802
8/24/18,10.8861
8/25/18,12.695
8/26/18,8.9172
8/28/18,10.3191
8/30/18,8.8354
9/1/18,8.6594
9/3/18,9.8315
9/5/18,9.1173
9/7/18,10.3447
9/9/18,12.589
9/11/18,10.3737
9/13/18,12.6837
9/15/18,12.8304
9/17/18,10.9586
9/19/18,10.8936
9/21/18,17.4607
9/23/18,14.8291
9/25/18,14.147
9/27/18,13.9835
9/29/18,12.8334
10/1/18,11.7695
10/3/18,25.5066
10/5/18,18.3858
10/7/18,17.5788
10/9/18,16.4145
10/11/18,14.9684
11/16/18,13.4555
11/19/18,11.8695
11/22/18,26.6457
11/25/18,19.9912
11/28/18,15.0548
12/1/18,18.7191
12/4/18,13.7186
12/7/18,14.6866
12/10/18,12.4385
12/13/18,27.7193
12/16/18,28.5789
12/19/18,17.1755
12/22/18,26.5564
12/25/18,24.171
12/28/18,15.2107
12/31/18,14.7772
1/3/19,15.5365
1/6/19,14.0584
1/9/19,19.8502
1/12/19,26.0541
1/15/19,16.9611
1/18/19,28.2143
1/21/19,22.1255
1/24/19,43.9783
1/27/19,46.7331
1/30/19,49.0868
2/2/19,37.4687
2/5/19,43.7199
2/8/19,47.1269
2/11/19,28.9851
2/14/19,39.1299
2/17/19,39.3099
2/20/19,32.7815
2/23/19,16.8613
2/26/19,18.3251
3/1/19,21.7381
3/4/19,21.8042
3/7/19,22.0211
3/10/19,21.2051
3/13/19,30.3974
